,industry,rank,search_city,search_job,avg_sal,years_exp,degrees_total,sen_job_titles_total,languages_total,visualization_total,big_data_total,cloud_total,platform_total,ds_concepts_total,deep_learning_totals,log_avg_sal
0,5,3.5,0,1,71500.0,3,0,1,1,2,0,0,0,0,1,11.177466714598282
1,12,3.4,0,1,49500.0,1,0,0,0,0,0,1,0,0,0,10.809748150372926
2,1,3.8,0,1,62500.0,7,1,0,2,0,0,0,1,1,0,11.042937835596494
3,5,4.5,0,1,47500.0,3,0,0,4,0,0,1,0,0,0,10.768506042432708
4,5,3.7,0,1,62000.0,8,0,0,0,0,0,0,0,1,0,11.034905792929415
5,14,4.0,0,1,73500.0,6,1,0,3,2,1,0,0,1,1,11.205054290550551
7,12,4.2,0,1,72000.0,7,1,0,3,2,1,1,0,4,0,11.184435286790631
8,12,4.3,0,1,64000.0,3,2,0,2,0,1,0,0,2,0,11.06665398721974
9,12,4.6,0,1,70500.0,3,2,0,2,1,0,0,0,1,1,11.163382173096926
10,21,4.5,0,1,53500.0,3,0,0,2,1,1,0,0,2,0,10.887455624298198
11,8,4.4,0,1,82000.0,5,1,1,3,3,1,0,2,1,0,11.314486721293981
12,9,3.3,0,1,74000.0,8,1,1,1,2,0,0,0,2,0,11.211833885608513
14,14,4.3,0,1,68500.0,4,1,0,1,0,0,0,1,0,0,11.134603622683905
16,1,3.4,0,1,67500.0,6,0,0,0,0,0,0,0,0,0,11.119897691565697
17,9,4.1,0,1,70500.0,3,1,0,2,1,0,0,0,0,0,11.163382173096926
19,12,4.5,0,1,99000.0,5,0,2,3,2,1,0,1,2,0,11.502885230075814
20,13,3.6,0,1,51000.0,2,1,0,3,4,1,1,2,2,0,10.839600519357369
23,12,4.5,0,1,79500.0,8,1,0,1,0,0,0,0,1,0,11.283524879179666
25,6,4.0,0,1,88000.0,10,1,1,2,2,0,1,0,0,0,11.385103457032141
26,12,4.3,0,1,43500.0,3,0,0,1,1,0,0,2,1,0,10.680539205318292
27,10,3.7,0,1,71000.0,1,0,0,3,2,0,0,1,1,0,11.170449240431308
28,9,4.0,1,1,61500.0,2,1,0,4,2,1,0,1,1,0,11.026808713825016
29,22,4.0,1,1,74000.0,4,1,0,3,2,0,0,1,2,0,11.211833885608513
30,13,3.6,1,1,66000.0,5,0,0,1,1,0,1,1,1,0,11.097425172408931
31,9,3.7,1,1,50500.0,3,1,0,1,1,0,0,2,0,0,10.829748417047593
33,12,3.4,1,1,99000.0,5,1,0,2,0,1,2,0,3,0,11.502885230075814
34,10,3.8,1,1,49000.0,6,2,0,4,0,0,0,0,1,0,10.799595985047786
35,14,2.9,1,1,56000.0,5,2,0,1,0,0,0,0,1,0,10.933124826700707
36,5,4.5,1,1,91000.0,5,0,1,2,1,0,1,0,1,0,11.418625774449598
37,11,3.6,1,1,69500.0,5,1,0,2,1,0,0,1,2,0,11.149096419938578
38,14,3.9,1,1,74000.0,5,1,0,0,0,1,2,1,0,0,11.211833885608513
39,13,3.9,1,1,66000.0,4,0,0,3,0,0,0,0,1,0,11.097425172408931
41,19,3.3,1,1,55500.0,3,1,0,1,3,0,0,1,1,0,10.92415631759022
42,5,4.0,1,1,67000.0,3,3,0,0,0,0,1,1,1,0,11.112462823634855
43,12,4.0,1,1,61500.0,3,1,0,0,3,0,1,0,2,1,11.026808713825016
46,12,4.0,1,1,75500.0,2,1,0,3,1,2,0,0,1,0,11.231901180182515
49,9,4.2,1,1,74500.0,2,2,0,3,3,1,1,0,5,0,11.218567827096358
51,18,4.5,1,1,60000.0,10,1,0,1,0,0,0,0,0,0,11.002116507732017
52,8,4.5,1,1,60000.0,3,2,0,6,0,1,0,2,0,1,11.002116507732017
53,11,4.0,1,1,61000.0,2,1,0,2,0,0,0,0,3,0,11.0186455364637
54,11,3.8,1,1,69000.0,3,2,0,1,0,0,1,0,0,0,11.141876276228
55,5,4.5,1,1,63500.0,5,0,0,1,0,1,0,0,0,0,11.05881093278828
56,14,4.4,1,1,71000.0,5,1,0,2,2,0,0,0,1,0,11.170449240431308
57,13,3.6,2,1,53000.0,2,1,0,3,4,1,1,2,2,0,10.87806606028079
58,12,3.4,2,1,50500.0,2,0,0,0,0,0,0,2,0,0,10.829748417047593
59,5,3.2,2,1,82500.0,7,1,1,0,0,0,0,0,1,0,11.320565693461432
60,12,4.0,2,1,89500.0,5,1,1,2,0,0,0,1,0,0,11.402005077384885
61,5,3.6,2,1,52500.0,2,1,0,0,1,1,0,0,1,0,10.868587496017359
62,1,3.2,2,1,54500.0,3,1,0,1,0,0,0,0,0,0,10.905974329106854
63,5,3.7,2,1,72000.0,2,1,0,1,0,0,0,2,0,0,11.184435286790631
65,5,3.6,2,1,44000.0,4,1,0,0,0,0,0,0,1,0,10.691967639914864
66,11,3.8,2,1,52000.0,1,1,0,1,3,0,0,1,0,0,10.859018228147887
67,8,3.5,2,1,62000.0,3,1,0,2,0,0,0,0,0,0,11.034905792929415
68,12,4.1,2,1,68500.0,3,1,0,2,3,1,4,0,1,0,11.134603622683905
69,9,4.1,2,1,43000.0,5,0,0,0,1,0,0,2,0,0,10.668978650219241
72,23,2.9,2,1,64000.0,3,0,0,1,1,1,0,2,0,0,11.06665398721974
73,11,4.1,2,1,56000.0,2,1,0,2,0,0,0,1,2,0,10.933124826700707
75,5,3.4,2,1,51000.0,2,1,0,0,0,0,0,0,3,0,10.839600519357369
76,12,4.0,2,1,71500.0,2,2,0,3,3,0,0,1,0,0,11.177466714598282
77,9,3.4,2,1,45000.0,3,1,0,0,0,0,0,0,0,0,10.714439990727769
78,12,4.5,2,1,82500.0,4,2,0,3,1,1,0,0,1,0,11.320565693461432
79,13,3.1,2,1,51500.0,2,1,0,2,2,0,0,2,1,0,10.849356503939038
81,22,3.9,3,1,83500.0,10,2,1,1,1,0,0,0,1,0,11.332613886815139
83,12,3.6,3,1,68000.0,5,2,0,4,0,1,0,0,1,0,11.127277689932466
84,9,3.6,3,1,78500.0,5,0,0,1,2,0,0,0,1,0,11.270866642542865
85,12,3.4,3,1,42500.0,5,2,0,3,1,0,0,0,1,0,10.657282884047461
86,11,3.0,3,1,72000.0,3,3,0,1,1,0,0,0,1,0,11.184435286790631
87,12,4.2,3,1,62000.0,4,1,0,2,3,0,0,0,0,0,11.034905792929415
88,5,3.5,3,1,50000.0,2,0,0,3,3,0,0,0,2,0,10.819798284210286
90,22,3.2,3,1,60500.0,2,1,0,2,0,0,0,0,1,0,11.010415172807951
92,11,3.3,3,1,46000.0,1,1,0,2,1,0,0,1,1,0,10.736418414365374
93,12,3.6,3,1,47500.0,6,2,0,4,2,1,2,5,1,0,10.768506042432708
94,12,4.2,3,1,42500.0,5,1,0,1,0,0,1,1,1,0,10.657282884047461
95,12,4.8,3,1,76000.0,4,1,1,6,5,1,2,0,1,0,11.23850177707664
96,12,4.1,3,1,74500.0,2,1,0,4,0,0,0,1,1,0,11.218567827096358
97,18,4.3,3,1,51500.0,3,1,0,0,0,0,0,1,3,0,10.849356503939038
98,9,3.6,3,1,78500.0,5,0,0,1,2,0,0,0,1,0,11.270866642542865
99,21,3.7,3,1,94000.0,2,1,0,4,0,3,1,1,6,1,11.451060699493427
100,11,3.5,3,1,48000.0,2,2,0,4,2,0,0,1,2,0,10.778977123006351
101,20,2.8,3,1,56500.0,6,1,0,0,1,1,1,1,0,0,10.942013616092948
102,9,3.9,3,1,83500.0,5,1,1,5,3,1,0,0,3,1,11.332613886815139
103,17,4.5,3,1,39500.0,5,1,0,6,2,0,1,0,1,0,10.584081267024454
104,12,3.7,3,1,63500.0,5,1,0,0,1,0,0,1,2,0,11.05881093278828
105,5,3.8,3,1,44500.0,3,1,0,0,4,0,0,0,2,0,10.703266939811954
106,11,4.0,3,1,73000.0,1,1,0,5,1,1,0,0,4,0,11.19822841866684
107,8,4.3,3,1,53500.0,7,2,0,2,0,0,0,0,0,0,10.887455624298198
108,18,3.8,3,1,102000.0,5,2,1,1,0,1,0,1,2,0,11.532737896139919
109,11,3.5,4,1,65500.0,2,0,0,0,0,0,0,1,1,0,11.089820688682373
110,14,4.3,4,1,65500.0,2,0,0,0,0,0,0,2,0,0,11.089820688682373
111,11,2.5,4,1,88500.0,3,2,1,2,1,0,0,1,3,0,11.390769130367211
112,15,3.2,4,1,94500.0,3,1,1,2,2,0,0,2,1,0,11.456365695436427
113,5,2.1,4,1,41000.0,4,2,0,4,1,1,0,2,0,0,10.62135173563291
114,3,4.0,4,1,54500.0,2,0,0,3,3,0,0,0,0,0,10.905974329106854
115,5,3.2,4,1,86500.0,2,2,0,2,4,1,0,2,2,0,11.367911253546788
116,13,3.6,4,1,65500.0,1,1,0,1,0,0,0,2,0,0,11.089820688682373
118,15,3.4,4,1,73000.0,1,1,0,2,1,0,2,1,5,0,11.19822841866684
119,21,3.7,4,1,65500.0,4,0,0,2,2,0,0,3,2,0,11.089820688682373
120,12,5.0,4,1,80000.0,3,1,0,2,1,1,1,2,0,0,11.289794413577894
121,8,3.3,4,1,67500.0,7,1,0,3,3,0,0,1,1,0,11.119897691565697
122,5,3.7,4,1,72000.0,4,1,0,4,2,0,4,0,3,0,11.184435286790631
123,18,3.1,4,1,46000.0,5,1,0,0,0,0,0,1,0,0,10.736418414365374
124,21,3.4,4,1,59000.0,2,1,0,1,1,0,0,1,0,0,10.985309671896763
125,19,3.5,4,1,44500.0,3,1,0,1,1,0,0,3,1,0,10.703266939811954
126,4,4.0,4,1,68000.0,4,2,0,3,0,0,1,0,2,0,11.127277689932466
127,5,3.7,4,1,65500.0,8,0,0,0,0,0,0,0,1,0,11.089820688682373
128,11,4.1,4,1,71000.0,5,2,0,5,2,0,1,1,0,1,11.170449240431308
130,12,3.9,4,1,56500.0,5,1,0,2,1,0,0,1,1,0,10.942013616092948
131,4,3.7,4,1,61000.0,3,2,0,0,0,0,0,0,2,0,11.0186455364637
