,company,industry,rank,job_title,location,salary_range,link,description,search_city,search_job,Unnamed: 0
0,Apple,Information Technology,4.3,Apple Music - Software Data Engineer,"New York, NY",$106K - $197K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=149&guid=000001788372e35e8dad68263b30bb7d&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_c73acb03&cb=1617113048457&jobListingId=3733696725,"SummaryPosted: Mar 22, 2021Weekly Hours: 40Role Number:200166439This team is more than a group of engineers — it’s a group of music lovers. That passion has made Apple Music the world’s most complete music experience, with over 60 million songs, thousands of playlists, and daily selections from music experts for 115 countries.The team’s data-driven engineers focus relentlessly on the customer experience by running worldwide experiments and analyzing usage and latency, while collaborating with Apple’s product groups. As a result, someone can use the Shazam app to identify an intriguing song in a café in the morning, add it to their playlist from Apple Watch, listen to it through their AirPods on their commute, and share it with their family on HomePod at dinnertime. And there’s more where that came from, because personalization powered by machine learning and music science helps listeners discover more of what they love. Apple Music is a big part of Apple’s business because it’s a big part of people’s lives. Areas of work: macOS/iOS Engineering, Full-Stack Engineering, Front-End Engineering, Back-End Engineering, Quality Engineering, Machine Learning Engineering, Data Science, Data Engineering, Site Reliability Engineering, Commerce Engineering, and Engineering Project Management.Key QualificationsExperience in designing, implementing and supporting highly scalable data systems and services in Java and/or ScalaExperience with Hadoop-ecosystem technologies in particular MapReduce, Spark / Spark-SQL / Spark Streaming, Hive, YARN/MR2Experience building and running large-scale data pipelines, including distributed messaging such as Kafka, data ingest to/from multiple sources to feed batch and near-realtime/streaming compute componentsExperience in data-modeling and data-architecture optimized for big data patterns, ie. warehousing concepts; efficient storage and query on HDFS; data security and privacy techniques)Knowledgable about distributed storage and network resources, at the level of hosts, clusters and DCs, to troubleshoot and prevent performance issuesExperience with low-latency NoSQL datastores and traditional relational databases is desiredDescriptionOur Data Engineering team is seeking a hardworking, performance-savvy, engineer to build out the big data platform and services, which power many of these customer features — existing and new. You will be responsible for designing and implementing features that rely on processing and serving very large datasets with an awareness of scalability. This will include crafting systems to model, ingest, process and compute large-scale, mission-critical data across Apple Music. High-throughput and reliability are essential.This is your opportunity to help engineer highly visible global-scale systems with petabytes of data, supporting hundreds of millions of users!Education & ExperienceBachelors degree in Computer Science, or equivalent experience.",ny,de,
1,Facebook,Information Technology,4.3,"Data Engineer, Product Analytics","New York, NY",$106K - $183K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=149&guid=000001788372e35e8dad68263b30bb7d&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_3866074c&cb=1617113048458&jobListingId=4016105921,"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights visually in a meaningful way.Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership.Design, build and launch new data models and visualizations in production, leveraging common development toolkits.Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries.Support existing processes running in production and implement optimized solutions with limited guidance.Define and manage SLA for data sets in allocated areas of ownership.Experience in the data warehouse space.Experience in custom ETL design, implementation and maintenance.Experience with object-oriented programming languages.Experience with schema design and dimensional data modeling.Experience in writing SQL statements.Experience analyzing data to identify deliverables, gaps and inconsistencies.Experience managing and communicating data warehouse plans to internal clients.BS/BA in Technical Field, Computer Science or Mathematics.Experience working with either a MapReduce or an MPP system.Knowledge and practical application of Python.Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",ny,de,
2,Hewlett Packard Enterprise,Information Technology,4,Senior Spark/Cassandra software engineer,"Berkeley Heights, NJ",$79K - $154K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f0f55ed&cb=1617113048458&jobListingId=4043807842,"Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world.HPE makes Hybrid IT simple. HPE helps customers to design the right mix of Hybrid IT to serve their unique needs. We bring next generation infrastructure that uses intelligent software to simplify and accelerate the delivery of new apps, services and business insights. Providing with new ways to deliver and manage IT on-premises and in the cloud.Designs, develops, troubleshoots and debugs software programs for software enhancements and new products. Develops software including operating systems, compilers, routers, networks, utilities, databases and Internet-related tools.Education and Experience Required:Strong Scala programming skills, Akka, DSL design, concepts of functional programming in ScalaExperience with Spark/Cassandra connector, SBTExpert skills in programming Spark RDDs, joins and dataframesUnderstanding of Mesos-based Spark deploymentCassandra data modeling, solid understanding of consistency levels, partitioningSolid grasp of Cassandra internals - read/write paths, indexes, tombstonesCassandra performance monitoring and troubleshooting, JVM and garbage collection tuningCassandra administration skills - compaction, repairs, backup and restoreBachelor's or Master's degree in Computer Science, Information Systems, or equivalent.Typically 6-10 years experience.Knowledge and Skills:Extensive experience with multiple software systems design tools and languages.Excellent analytical and problem solving skills.Experience in overall architecture of software systems for products and solutions.Designing and integrating software systems running on multiple platform types into overall architecture.Evaluating forms and processes for software systems testing and methodology, including writing and execution of test plans, debugging, and testing scripts and tools.Excellent written and verbal communication skills; mastery in English. Ability to effectively communicate product architectures, design proposals and negotiate options.In a typical day as a Software Engineer, you wouldAnalyse, design, program, debug, and modify software enhancements and/or new products used in local, networked, or Internet-related computer programs, primarily for end usersWrite code and complete programming by using current programming languages and technologiesPerform testing and debugging of applicationsComplete documentation and procedures for installation and maintenanceInteract with users to define system requirements and/or necessary modificationsEffectively communicate product architectures, design proposals and negotiate options at management levelsCollaborate with peers, junior engineers, technicians and external design partnersTypically interact with high-level individual contributors, managers and program core teamsLead a project requiring software applications developmentIf you are…Good at partnering, innovating, and making things happen. You are aligned to our core values.Holding a Bachelor's or Master's degree in Computer Science, Information Systems, or equivalentA professional with strong analytical and problem solving skillsExperienced in software application design tools and programming languagesExcellent in verbal and written communication and presentationJoin us and make your mark!We offer:A competitive salary and extensive social benefitsDiverse and dynamic work environmentWork-life balance and support for career developmentAn amazing life inside the element! Want to know more about it?Then let’s stay connected!https://www.facebook.com/HPECareershttps://twitter.com/HPE_Careers1075596",ny,de,
3,Sensor Products Inc.,Manufacturing,3.1,Senior Product Engineer,"Madison, NJ",$54K - $86K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044077&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f69719e2&cb=1617113048459&jobListingId=4012092389,"The CompanySensor Products, Inc. (www.sensorprod.com) makes and sells products that measure pressure between contacting surfaces. We help mattress manufacturer’s measure body pressure on their mattresses so you’ll sleep soundly. Products like ours help food packagers keep your food safe from infection and spoilage, and the folks who build and test the brakes on your car use pressure sensors to keep your family safe from harm.We are searching for a Senior Product Engineer to work in our Madison, NJ office. The position will be focused on designing, making, and providing quality control for sensors, and will manage inventory of all of Sensor's products. The Senior Product Engineer position offered requires at a minimum a baccalaureate degree and this person must speak Chinese. You need to not only be very resourceful and wear many hats, but be capable of thriving in an unstructured environment that works at a blistering fast pace. You’ll successfully juggle 5, 6 and sometimes more projects simultaneously. Some travel (post-crises) to client sites is required. This position will focus on the design, development, and production of our various mechanical sensor devices. The position will be supervised by our Product Manager, and will work closely with our Electrical Engineer to develop some new products.Responsibilities include: This job requires the individual to have the ability to multitask and manage at a high level as this job has many duties and responsibilities. The job’s duties and responsibilities are as follows:Design complicated matrix sensor using AutoCad. Design some complicated components (3D model) used in our products using Solidworks or NX,and use 3D Printer to print the component. Read the technical drawings from clients and generate the solution for their pressure applications.Use different calibration tool to perform calibration on all kinds of sensors based on clients' request, especially in pressure range.Assist product manager to develop new pressure sensor product e.g, printed electronics on 0.5x0.5in sensing area with 32x32 matrix, which is the highest resolution we can reach at in the field.Engage in hands-on work such as soldering and assemble sensors and optimized the data collection hub and accelerate the speed of data acquisition.Manage the products inventory and lease orders, maintain a relatively stable level of all kinds of product.Perform data analysis and quality controlProvide customer service and technical support to our clients; write reports to manager based on the feedback from our clients.Diagnose bad sensor chain and redesign the component of our products and make it more commercial and optimize our Sigma Nip product in every aspect.Modify calibration jig for rigorous calibration and develop the repetitive fixture to test our sensors capacity after thousands of compression.Provide technical support to engineering clients and do the troubleshooting when client having issues.Train new employee in our products in how to make the product from the scratch.Anticipated projects assigned by supervisor, CEO and owner of the company.PCB design and program for the electronics.Work closely with many groups, including a dedicated prototyping team, Industrial Design, Hardware Engineering, Operations, Packaging, Reliability, and ThermalWork closely with electrical engineers and other cross functional partners (SW, reliability, testing, DFM, operations) to solve issues that arise in the course of prototyping, verification, and validationThe Senior Product Engineer will use a wide variety of tools, technologies, computer languages, and software applications in deploying his job duties, such as the following:Tools: pressure gauge; air compressor; high pressure jig; low pressure jig; caliper; mark 10 force gauge; heat gun; glue gun; drill press; oscilloscope; signal generator; multimeter; solder station; and other mechanical engineering tools.Technologies: mechanical design and assembly; 3D printing; GD&T methods;sensor system design; testing and manufacturing; circuitry testing and modification; calibration; measurements; debugging; materials testing; manual soldering; and data acquisition and analysis.Mechanical System Architecture, Design for Manufacturability (DFM), Design for Assembly (DFA), statistical tolerance analysis techniques, functional dimensioning, and geometric tolerancing.Software: Autocad and Solidworks and NX 3D and Autodesk Inventor, AutoCAD; ANSYS;Matlab; Microsoft Office. Eagle for PCB designProgramming Languages: C++ ;Matlab ;Python;Java script ; Visual Basic and PLC programmingDue to the highly specialized and complex nature of the job duties and responsibilities of the position, it is essential that the incumbent for the professional position have a minimum of a baccalaureate degree and speaks Chinese in order to help Chinese customers who do not speak English.Requirements: 5 + years of experience on items mentioned aboveEngineering College degreeComputer expertFluent in ChineseKnowledge of image processing & image analysisAttentional to detail and ability to follow directionsStrong organizational skillsAbility to observe and perform prioritization of tasksAbility and willingness to take on new tasks and responsibilities as they present themselvesIn ReturnWe offer a competitive salary, a casual work environment filled with intelligent, nice people, and a chance to grow into other opportunities.Company Description: Started in 1990, Sensor Products Inc. (sensorprod.com) has grown to be an international firm with sales in over 80 countries. Our products are used in a broad range of industries, from aerospace to electronic devices and pharmaceutical packaging. Our firm is 30 minutes from Newark airport and 50 minutes from NYC.To Apply - Please send us your resume along with a cover letter.Job Type: Full-timePay: From $40,000.00 per yearBenefits:Dental insuranceHealth insurancePaid time offRetirement planSchedule:Monday to FridayWork Location:One locationThis Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance -- thrives in a high-pressure environmentWork Remotely:NoCOVID-19 Precaution(s):Remote interview processTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place",ny,de,
4,BlackRock,Finance,4,Data Engineer (Python),"New York, NY",$74K - $141K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&cs=1_1396f99c&cb=1617113048459&jobListingId=4043826265,"DescriptionAbout this roleWhen BlackRock was started in 1988, its founders envisioned a company that combined the best of financial services with cutting edge technology. They imagined a business that would provide financial services to clients as well as technology services to other financial firms. The result of their vision is Aladdin, our industry leading, end-to-end investment management platform. With assets valued over USD $7 trillion managed on Aladdin, our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.Data is at the heart of Aladdin and increasingly the ability to consume, store, analyze and gain insight from data has become a key component of our competitive advantage. The Enterprise Systems team is responsible managing and integrating a wide variety of third party and custom built Corporate applications that are used within the firm to support Finance, Internal Audit, Compliance, Human Resource and Risk and Quantitative Analysis with Aladdin. This team will design and engineer the Enterprise Data echo system and maintain a leading edge data platform that provides highly available, consistent data of the highest quality for all users of the platform, notably corporate operations, executive teams and data scientists. We focus on evolving our platform to deliver exponential scale to the firm, powering the future growth of BlackRock.Software engineers at BlackRock get to experience working at one of the most recognized financial companies in the world while being part of a software development team responsible for next generation technologies and solutions. Our engineers design and build large scale data storage, computation and distribution systems. They partner with data and analytics experts to deliver high quality analytical and derived data to our consumers.We are looking for software engineers who like to innovate and seek complex problems. We recognize that strength comes from diversity and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual. We are committed to open source, and we regularly give our work back to the community. Engineers looking to work in the areas of data pipelines, discovery, storage, distribution, distributed computation, consumption and infrastructure are ideal candidates.Your ResponsibilitiesDevelopers are expected to be involved from inception of projects, understand requirements, architect, develop, deploy, and maintain applications. Typically they work in a multi-disciplinary squad (we follow Agile!) which involves partnering with program and product managers to expand product offering based on business demands. Design is an iterative process, weather for UX, services or infrastructure. Our goal is to drive up user engagement and adoption of the platform while constantly working towards modernizing and improving platform performance and scalability.Deployment and maintenance requires close interaction with various teams. This requires maintaining a positive and collaborative working relationship with Enterprise Systems as well as with wider Aladdin developer community. . Creative and inventive problem solving skills for reduced turn around times are highly valued.Preparing user documentation to maintain both development and operations continuity is integral to the role. Adhering to BlackRock's UX and design standards is expected and contributing towards upkeep of those standards is encouraged.You HaveBA/BS or Masters in Computer Science or equivalent practical experienceAt least 3+ years experience as a data engineerSolid Experience with Apache Hadoop / Spark platforms like HortonworksExperience in deployment, maintenance, and administration tasks related to Cloud (Azure, AWS, GCP or Private Cloud), OpenStack, Docker, Kafka, Airflow, Nifi and KubernetesFamiliarity with monitoring and log management tools like Splunk, App Dynamics, App Insights, ELKFamiliarity with networking including DNS, Virtual Networks, WAF, and VPNFamiliarity with network and platform security strategies, algorithms, and implementation practicesRobust object-oriented design pattern knowledge and implementation experience using PythonExperience with API Design using Rest / Soap & OAuth 2.0Experience and expertise working with relational/non-relational databases and understanding of storage technologies (like MySQL, Sybase, MongoDB, InfluxDB, Cassandra or HBase)Experience with dev ops tools like Git, Maven, JenkinsExperience with Agile development concepts and related toolsExcellent written and verbal communication skills.Self Starter with a passion for learning and implementing new technologiesSkills that would be a plusExperience with Machine Learning and Artificial IntelligenceExperience with Business Intelligence Design and ArchitectureExperience with web technologies like Angular 2+ (or React/Vue), TypeScript, RxJSOur benefitsTo help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.About BlackRockBlackRock's purpose is to help more and more people experience financial well-being. As a fiduciary to investors and a leading provider of financial technology, we help millions of people build savings that serve them throughout their lives by making investing easier and more affordable.BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",ny,de,
5,Jun Group,Information Technology,4.7,Data Engineer (Remote),"New York, NY",$100K - $181K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=8095&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d475fb5d&cb=1617113048460&jobListingId=4017883148,"Jun means truth, and our culture is about openness and honesty. Jun Group is a mobile advertising company that delivers beautiful full-screen video and display ads to millions of people. Advertisers like Audi, Merck, Intel, and WebMD trust Jun Group because everything we do is brand safe, viewable, and transparent.

We are looking for a Data Engineer to join our amazing server team. This position is full-time and 100% remote with the option of working on-site once it is safe to do so. Jun Group will only consider candidates for this position who are currently legally authorized to work in the United States.

Who you are

You enjoy a fun, creative, and engaging working atmosphere free of brilliant jerks
You want to be part of a small team inside a large company with massive opportunity for growth
You enjoy collaboration with other teams including product, biz dev, and our in-house QA team
You eagerly dig into complex engineering problems

What you'll do

Contribute to exciting greenfield projects
Own all things data - including our ETL processes, reporting APIs, and internal dashboards
Collaborate with our engineering team to improve our existing machine learning models and tooling
Experiment with new tech to find the right tool for the job
Use Kanban to manage multiple releases per week
Maintain high code quality through code reviews and automated tests

Qualifications

Experience working with streaming and batch data processing tools like Apache Beam, Spark, Flink, etc.
You've built and maintained an ETL pipeline using a data warehouse like BigQuery or Redshift
You are comfortable writing SQL and manipulating large structured or unstructured datasets for analysis
Practical knowledge of how to build efficient end-to-end ML workflows
Familiarity with AWS or Google Cloud big data products

What we offer

A highly competitive compensation package
401k with company match
Paid vacation, work from home, and sick days
Annual personal development budget to attend a conference of your choice
Designated time to work on company-related projects you feel strongly about
Macbook Pros and any other equipment you need to work effectively from home
Monthly company events

Jun Group is a high-powered, collaborative environment. We are looking for candidates who work well in teams, enjoy learning, and challenging the status quo. We work hard, and we have lives, too. We'll pay competitively based on experience, and we're open to allowing the right person to learn our industry on the job.

Interested parties should send a resume along with a cover note. We have excellent perks and benefits, and we welcome diversity and non-traditional paths into all of our roles. We believe in hiring the right person as opposed to the right combination of keywords.",ny,de,
6,Luxoft,Information Technology,4.2,Data Engineer,"New York, NY",$71K - $133K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4008&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&cs=1_4be44ea5&cb=1617113048460&jobListingId=3737945352,"

LocationNew York City

Office Address1 Rockefeller Plaza, 27th Floor New York, NY 10020



Project DescriptionWe are seeking a highly qualified and talented technologist to join the Data Platform team. The team is re-envisioning client's platform include the data pipeline, research infrastructure in the cloud and back testing.

Application is a multi-manager platform that invests its capital with Internal and Partner portfolio managers, primarily on an exclusive or semi-exclusive basis, across quantitative, fundamental equity and tactical trading strategies. We have created a unique structure to provide global portfolio managers with autonomy, flexibility and support to best enable them to maximize the value of their businesses.

Over the last 30 years, our client has successfully capitalized on inefficiencies and opportunities within the equity markets. We have developed and invested heavily in proprietary technology, infrastructure and risk analytics. Our portfolio exposure has expanded across the Americas, Europe and Asia as well as multiple asset classes and products.



Responsibilities



 The Data Engineer will be leading, architecting and developing optimized, high throughput applications for scalable research and back testing in the cloud. The infrastructure will provide PMs with infrastructure to analyze data, back test their strategies and deploy them to production trading seamlessly. 

SkillsMust have



 •	At minimum, five years of experience in C++

•	Expertise with low-level implementation and systems programming

•	Experience with API Design

•	Experience with high volume, high availability distributed systems

•	Experience implementing and deploying on the cloud

•	Excellent communication skills, both written and verbal

•	Ability to work under pressure handling Level 3 support issues

•	Excellent communication skills, both written and verbal

•	Highly skilled and analytical problem solver with logical thought processes and quantitative aptitude

•	Strong ownership experience and a track record of delivering results

•	A degree in Computer Science, Engineering, or a related field

Distributed Control System, C++, API, Cloud

Nice to have



 •	Experience within a quantitative trading firm/hedge fund

•	Experience with real-time market data (Thomson Reuters, Bloomberg) 



LanguagesEnglish: C1 Advanced

SenioritySenior

Relocation packageIf needed, we can help you with relocation process. Click here for more information.


Work Type

C/C++
Ref Number

VR-53884



",ny,de,
7,Blink Health,Health Care,3.6,Data Engineer,"New York, NY",$105K - $185K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=8095&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_89326e8e&cb=1617113048461&jobListingId=3808489623,"Blink Health is a well-funded healthcare technology company on a mission to make prescription drugs more accessible and affordable for everyone. We're scaling up in a highly complex vertical to change the way Americans access the prescription drugs they need.

Our proprietary platform and supply chain allows us to offer everyone whether they have insurance or not amazingly inexpensive prices on over 15,000 medications. With the addition of telemedicine and home delivery for prescriptions, Blink is providing a life-changing experience for people all over the country and fixing how opaque, unfair and overpriced healthcare has become. We are a highly collaborative team of builders and operators who invent new ways of working in an industry that historically has resisted innovation. Join us!

About The Team

Blink Engineering strives to build trusted, highly observable, data-driven products to bring affordable, accessible healthcare to all Americans. We understand healthcare is the most complex system most of us will ever fix. We believe in solving this complexity through the use of simple, well-known technologies. We are a highly collaborative team that believes in owning outcomes over owning code and putting patients at the center of everything we do.

The Blink Health Data Engineering and Analytics team is a small team responsible for building infrastructure, frameworks and tooling to enable data-driven decisions; building and maintaining our data warehouse for security and scale. This role is central to building and executing on a robust and forward-looking data strategy for the company, and the successful candidate blends top-tier software engineering expertise with the ability to look ahead at what we need to build for the future.

About the Role

As Data Engineer, you will be a helping building our next generation of data tools and frameworks, in addition to developing and maintaining data products and infrastructure. You will proactively assess production DW support trends to determine and implement short- and long-term solutions, and be able to design for data integrity, reliability, and performance.

Required Experience


You have 4+ years hands-on experience and demonstrated strength with:

Python software development. You will be coding.
Building and maintaining robust and scalable data integration (ETL) pipelines using SQL, EMR, Python and Spark.
Writing complex, highly-optimized SQL queries across large data sets.
Designing and maintaining columnar databases (e.g., Redshift, Snowflake)
Distributed data processing (Hadoop, Spark, Hive)
ETL with batch (AWS Data Pipeline, Airflow) and streaming (Kinesis)
Integration and design for Business Intelligence tools (e.g., Looker, QuickSight)
Creating scalable data models for analytics.


You have experience designing and refactoring large enterprise data warehouses and associated ETLs, with continuous improvement examples for automation and simplification across all aspects of the DW environment, inclusive of both engineering and business reporting.
Proven success with communicating effectively across diverse disciplines (including product engineering, infrastructure, analytics, data science, finance, marketing, customer support, etc.) to collect requirements and describe data engineering strategy and decisions.
Undergraduate or graduate degree in Computer Science
",ny,de,
8,Michael Page,Business Services,3.6,Data Engineer (Remote),"Hoboken, NJ",$75K - $110K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044072&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&cs=1_02e6d906&cb=1617113048461&jobListingId=3811912027,"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants. DescriptionGather business requirements and create technical implementations and end-user documentation.Be active in data modeling and structure design with the Product and Engineering teams.Supporting, deploying and driving distributed systems technologiesImplementing and managing a hybrid cloud environmentStrong SQL experience4-6 years of professional Data Engineering experienceExperience working in E-commerce is idealConfidential, insurance-tech startup. * Competitive base salary and benefits * Remote work",ny,de,
9,Healthfirst,Insurance,3.4,Data Engineer,"New York, NY",$85K - $161K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136006&s=58&guid=000001788372e35e8271e12100c989c5&src=GD_JOB_AD&t=SR&vt=w&cs=1_50804f52&cb=1617113048462&jobListingId=3764742644,"The Data Engineer is responsible for data acquisition strategies and integration scripting and tools, data migrations, conversions, purging and back-ups; fulfills data acquisition strategy requirements. They work with product, financial control, analysts, users and other stakeholders to understand business requirements and supports data architecture to translate into data acquisition strategies. The Data Engineer will author artifacts defining standards and definitions for storing, processing and moving data, including associated processes and business rules. Additionally, the Data Engineer will map the details within these their artifacts to business processes, non-functional characteristics, QA criteria and technical enablement. The role is responsible to be constantly thinking through the needs of the business to support efficient and error free processes.The Data Engineer will be responsible for finding trends in datasets and developing workflows and algorithms to help make raw data more useful to the enterprise. He or she will also be responsible for createing data acquisition strategy and develops data set processes.Designs and implements standardized data management procedures around data staging, data ingestion, data preparation, data provisioning and data destruction (scripts, programs, automation, assisted by automation, etc).Ensures quality of technical solutions as data moves across Healthfirst environmentsProvide insight into the changing data environment, data processing, data storage and utilization requirements for the company and offer suggestions for solutionsEnsures managed analytic assets support Healthfirst’s strategic goals by creating and verifying data acquisition requirements and strategyDevelop, construct, test and maintain architecturesAlign architecture with business requirements and use programming language and toolsIdentify ways to improve data reliability, efficiency and qualityConduct research for industry and business questionsDeploy sophisticated analytics programs, machine learning and statistical methodsPrepare data for predictive and prescriptive modeling and find hidden patterns using dataUse data to discover tasks that can be automatedCreate data monitoring capabilities for each business process and work with data consumers on updatesAligns data architecture to Healthfirst solution architecture; contributes to overall solution architectureHelp maintain the integrity and security of the company dataMinimum Qualifications:Bachelor’s Degree in Computer Engineering or related field7+ years’ experience in a data engineering10+ years’ experience in data programing languages such as java or python4+ years’ experience working in a Big Data ecosystem processing data; includes file systems, data structures/databases, automation, security, messaging, movement, etc.3+ years’ experience working in a production cloud infrastructurePreferred Qualifications:Proven track record of success directing the efforts of data engineers and business analysts within a deadline-driven and fast-paced environmentHands on experience in leading healthcare data transformation initiatives from on-premise to cloud deploymentDemonstrated experience working in an Agile environment as a Data EngineerHands on work with Amazon Web Services, including creating Redshift data structures, accessing them with Spectrum and storing data in S3Knowledge of SQL and multiple programming languages in order to optimize data processes and retrieval.Proven results using an analytical perspective to identify engineering patterns within complex strategies and ideas, and break them down into engineered code componentsKnowledge of provider-sponsored health insurance systems/processes and the Healthcare industryExperience developing, prototyping, and testing engineered processes, products or servicesProven ability to work in distributed systemsProficiency with relational, graph and noSQL databases required; expertise in SQLMust be able to develop creative solutions to problemsDemonstrates critical thinking skills with ability to communicate across functional departments to achieve desired outcomesExcellent interpersonal skills with proven ability to influence with impact across functions and disciplinesAbility to work independently and as part of a teamAbility to manage multiple projects/deadlines, identifying the necessary steps and moving forward through completionSkilled in Microsoft Office including Project, PowerPoint, Word, Excel and VisioWE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, age, genetic information, military or veteran status, marital status, mental or physical disability or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.If you have a disability under the Americans with Disability Act or a similar law and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.All hiring and recruitment at Healthfirst is transacted with a valid “@healthfirst.org” email address only or from a recruitment firm representing our Company. Any recruitment firm representing Healthfirst will readily provide you with the name and contact information of the recruiting professional representing the opportunity you are inquiring about. If you receive a communication from a sender whose domain is not @healthfirst.org, or not one of our recruitment partners, please be aware that those communications are not coming from or authorized by Healthfirst. Healthfirst will never ask you for money during the recruitment or onboarding process.",ny,de,
