,company,rank,job_title,location,salary_range,link,description
0,Codifyd,4,Business Analyst,"Chicago, IL",$40K - $76K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1168196&s=149&guid=000001781e17c104941b8f47677310ab&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_08835f63&cb=1615412577533&jobListingId=3767888644,"Job Description

As a market leader in providing master data management solutions, our Connect Consulting Practice team members engage with our clients to assess and implement best-of-breed applications to address their product, vendor, and customer data needs. Codifyd partners with leading MDM/PIM software vendors including Stibo Systems, Informatica, EnterWorks, and inRiver in delivering these solutions. We are currently looking for a Business Analyst with hands-on experience to gather detailed business and technical requirements, create business use and test cases, and to act as a liaison by creating direct channels of communication between technical and business teams. If you have at least 4 years of relevant professional work experience and strong business analyst experience, this is the opportunity for you.

Responsibilities

Lead in-person discovery meetings with clients and stakeholders to evaluate current PIM/MDM systems and processes along with adapting unique business needs to create and recommend new PIM/MDM solutions.Document components to integrate PIM/MDM solutions with external applicationsDesign and build workflows and custom portal components to enhance governance and quality of product data solutionsDefine test cases and develop and execute test plansDocument business requirement for business processes and abide by those requirements for future projectsCompile analysis reports that are delivered to developers and follow-up on all resultsImplement a comprehensive management plan for each projectHold regular stakeholder meeting to keep all interested parties updated on project progressBuild and maintain long-term client and business partner relationships70-90% Travel Required

Requirements

4+ years of relevant business analyst work experienceStrong Microsoft Visio skillsExperience with both agile and waterfall project formatsStrong experience in user testing and project managementExcellent interpersonal, communication and team-facilitation skillsStrong analytical and problem-solving skillsBachelors degree in Business, Supply Chain, or related major such as electronic engineering; Computer Sciences degree a plus; Masters degree a plus, PIM/MDM experience with major platforms (Stibo, Enterworks, Informatica, inRiver, Infosphere) a plus

About Codifyd

At Codifyd, we transform the way distributors, manufacturers, and retailers leverage the digital landscape. With a product content-centric approach, we create a failsafe system for organizations to manage complex data and information required in todays digital commerce marketplace. Our digital transformation services and AI technologies enable operational efficiency for organizations and their channel partners, while providing a superior research-to-purchase experience for end users and financial growth for sellers.

The Codifyd team is comprised of bright, talented, and experienced professionals working in a fast-paced culture where every team member has autonomy and responsibility. We value innovative thinking, elegant and pragmatic design, exceptional team chemistry, and innate passion to make an impact.

Powered by JazzHR"
1,Ryan Specialty Group,3,Business Analyst,"Chicago, IL",$47K - $85K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=149&guid=000001781e17c104941b8f47677310ab&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_a74e621d&cb=1615412577534&jobListingId=3725189326,"Ryan Specialty Group is looking for an Business Analyst to join our Chicago, IL team. We are a fast paced, energetic and rapidly growing organization that offers a great opportunity for someone interested in further developing their career. Ryan Specialty Group has been named one of the ""Best Places to Work 2020"" by Business Insurance, and has been named ""2020 top Insurance Workplace"" by Insurance Business America.Position Summary:The ideal candidate has a strong Business/IT background and is seeking a career in a rapidly expanding company that provides targeted capital investments in talent and companies. The Business Analyst will be responsible for configuring, troubleshooting and training for our MGA/MGU Agency management system.Essential Functions:Provide administrative support and training on an MGA/MGU Agency management system.Specify, document, and test additions and modifications to the system.Troubleshoot application errors.In conjunction with users, isolate problems, determine solutions or alternatives, and develop and implement a resolution.Look for opportunities to improve user instructions or train for better understanding.Creates SQL driven reporting, both ad hoc and for regular use.Creates or modifies complex Excel spreadsheets and Word documents incorporated into the agency management system.Ensures the integrity of the system at all times including data integrity when developing, maintaining or enhancing setups and reports.Special Projects to be assigned as needed.10-15% Travel.Education/Experience/Skills:BA/BS degree in business and/or a technology related field a plus, but not required.3 years’ experience in an office environment and MGA/MGU experience preferred.Experience configuring an MGA/MGU agency management systems a plus.Structured Query Language (SQL) skills preferredStrong MS Excel skills.Excellent verbal and written communication skills.Extremely detail-oriented.Able to work independently and juggle multiple projects and clients.Strong experience with core business applications & processes.DisclaimerRyan Specialty Group is an Equal Opportunity Employer"
2,Zoro Tools,3.4,"Sr Transportation Analyst, Zoro","Chicago, IL",$44K - $71K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_290307e7&cb=1615412577535&jobListingId=4027184039,"Company Summary:Zoro.com is an eCommerce company that sells business supplies, equipment, and tools—but we’re much more than just a website. We’re a team of people who win and lose together (we prefer winning!). Since 2011, Zoro has been working hard to make it easy for our customers to purchase everything they need to make their businesses go. Zoro currently offers over 6 million products, fast and free shipping, no-hassle returns, and exceptional customer service. We’ve grown quickly in a short time, recently surpassing 450 team members and reaching annual revenue of over $600 million. Add to that our award-winning culture—we were named a Great Place to Work for 2019-21, among other accolades—and we think Zoro is a pretty amazing place to work and grow.Duties and Responsibilities:Develop, analyze, recommend and lead implementation of opportunities for improvement that optimize transportation policies and processes around availability, transportation cost, and supply chain cost.Manage project to expectations and to delivery goalsLead continuous improvement and LEAN initiativesWork closely with internal and external partners to ensure proper alignment in communicating with carriers and other internal partners (DC, Purchasing, etc.)Active participation in the Identification, selection, negotiation and implementation of cost/service-effective alternative solutions.Develop and implement custom transportation solutions for customersAnalysis and auditAnalysis utilizing transportation, freight payment and carrier databases to determine underlying causes of freight cost trends, identify inefficiencies, non-compliance and other opportunities for improvementWork with internal and external partners to identify process improvement opportunities and to implement new policies and processesConduct audits to gaps in processesMonitor key transportation metrics and develop actions plans when necessaryIdentification of transportation failures and timely communication to Supply Chain management.Develop and utilize cross functional relationshipsServe as a key contact for cross functional projectsServe as a go to person for understanding Zoro’s information flow and assist in on-boarding of the new team membersEducate supply chain partners on the role of transportation in the organization, business and carrier rules and how they can have a positive impact on transportation metrics and the customer experienceExecute all components related to Carrier Management. Including but not limited to:Host monthly scorecard and one off feedback conversations with transportation providers with the ability to interpret the score and performance verbally and in writing.Compile and articulate a plan to improve performance and execute the plan.Root cause analysis and communication of large scale failuresRFP compliance review.Qualifications:Bachelor degree in analytical discipline (e.g. Supply Chain, Operations Management, Finance/Economics, Statistics, etc.) required. MBA Preferred.3-5 years in an analyst or similar role requiredIntermediate software skills such as Excel, Access, Visio, Powerpoint, SQL and NetSuite are highly preferred.Demonstrated skills and experience in:Working understanding of the supply chain tradeoffs between transportation and inventory costs and availabilityAnalyzing data, developing a recommended course of action and implementing a successful solutionLeading team efforts on a specific assignment in an indirect reporting capacityWorking through challenging issues in a constructive mannerFinal note: We share a commitment to our Zoro values – Win & Lose Together (We prefer winning!), Take Ownership, We Are Transparent, and Aspire to be Customer-Obsessed. Everything we do at Zoro is centered around delighting our customers. It's a natural extension of our company culture and how we care for each other. We believe when we act in ways that are consistent with these values, we can solve any technical challenge that lies ahead of us. As a Zoro employee, you can expect to work with smart, energetic people, learn something every day, and be valued for your perspective.Zoro is an Equal Opportunity Workplace and an Affirmative Action Employer.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status."
3,TTX,3.3,Business Analyst,"Chicago, IL",$55K - $106K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c4dc40e&cb=1615412577536&jobListingId=4001462684,"Analyze and manage business requirements throughout the System Development Life Cycle (SDLC), including support of requirements workshops, business process modeling, writing detailed functional specifications for new and changed complex information systems, preparing test cases and testing strategies, conducting peer reviews to ensure 'as-built' information systems conform to specifications, and ensuring that processes are followed. Additionally, participate with analysis of business requirements and recommend effective, efficient, flexible technical solutions to meet business needs. Perform work within the full range of project development methodologies, including: waterfall and Agile methods. Assist with leading and facilitating groups across all levels of the organization to deliver valued outcomes, including improved analytics, adoption of improved methodologies, and using analytics to drive business decisionsRESPONSIBILITIESRelease Planning and daily operations - 50% oElicit, analyze, and document requirements by communicating directly with customers to resolve complex issues oGroom and maintain backlog with prioritized user stories oPlan and monitor the progress of release items oUnderstand issues and help resolve them through data analysis, technical research, and team collaboration on complex issues oAssist with connecting processes and overcoming internal silos oEnhance the end user experience by providing actionable information oFacilitate user acceptance testing and perform integration testing, as required oOther activities within area of responsibility, as neededProjects - 40% oCommunicate effectively with all team members, stakeholders and project sponsors on technical and non-technical topics oDevelop elements of systems design, including user stories, business process documentation, workflow charts, diagrams, data migration rules, business rules, wireframes, or other detailed deliverables oStrive toward continual optimization across processes using technology to solve issues, increase efficiency, and add to the bottom line oUse new technologies to leverage possibilities and opportunities to innovate the future through the interconnectivity of devices and processes oAchieve core business competencies in rapidly changing environments by using innovative technology oIdentify controls necessary to ensure long-term system stability oCreate test plans and strategy oCollaborate with end users and developers on developing comprehensive test cases oAssists in the development of training material. Conducts training as appropriateStrategy and R&D - 10% oInvestigate and make recommendations on emerging technologies oUnderstand enterprise strategy and direction oKeep the end user/customer at the forefront of thought; support, guide, influence users to see opportunities and value with new approaches using technology oAssist users with realizing their strategy and goals through the use of new technologyQUALIFICATIONSInnate curiosity about technology and how technology can solve problemsStrong business acumen; ability to understand business models quicklyAct as a liaison with the Digital Governance, Risk and Security team to comply with digital governance and security policies and standards during design and implementationBe a champion of digital security at TTXDemonstrated self-starter; strong initiativeAbility to manage and focus on multiple tasks and changing prioritiesBachelor's degree in technology, programming, or businessMinimum 3 years of experience as a BAMinimum 5 years professional experience with demonstrated progressive responsibilityExperience using agile methodologies such as Scrum or KanbanExcellent communication and interpersonal skillsAbility to create wire frames; leveraging intuitive designStrong MS Office skillsIntermediate experience using SQL or other programming languagesKnowledge of all phases of the Software Development Life CyclePHYSICAL JOB REQUIREMENTS(The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.)Performs work in general office environment with a moderate noise level. While performing the duties of this job, the employee is regularly required to talk, hear, or sit (remain stationary within work area). The employee is frequently required to use hands to finger, handle, or feel. The employee is occasionally required to move about (stand, walk) and reach with hands and arms. The employee must occasionally lift and/or transport up to 10 pounds. Correctable vision required for close and color vision and the ability to adjust focus (ability to adjust eye to bring an object into sharp focus).The above job description is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or requirements."
4,Uline,3.7,Business Analyst (North of Chicago),"Chicago, IL",$70K - $85K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_eb6f3211&cb=1615412577540&jobListingId=3798237670,"Business AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With Uline’s continued growth, we need a team that ensures we stay true to our company motto of Speed, Passion and Operational Excellence. Our Executive Operations team keeps us on track by conducting internal operational audits, analyzing company performance and reporting findings and recommendations to Uline’s President.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesReview and summarize financial and operational data and provide executive summaries with recommendations to senior management.Investigate root causes and provide analyses and recommendations for improvement in business operations.Recommend growth and cost-saving opportunities and participate with business leaders on implementation.Review, comment and follow-up on customer comment reports.Analyze weekly and monthly reports and develop solutions to improve performance.Assist in audits and provide suggestions and feedback.Minimum RequirementsBachelor’s degree.3+ years’ experience in a business operations / financial analysis role.Working knowledge of analytical and planning techniques to evaluate current business performance and modeling to assess future capital investments and acquisitions.Strong quantitative skills with proficiency in Excel, Word, PowerPoint and Access or SQL.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
5,Uline,3.7,Customer Service Analyst (North of Chicago),"Chicago, IL",$39K - $86K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_947f7ee0&cb=1615412577541&jobListingId=4023052492,"Customer Service AnalystMilwaukee Branch12355 Uline Way, Kenosha, WI 53144Customer Service is the heartbeat of our company. We depend on our Call Center employees to serve our customers and fulfill our promise of reliability.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesProduce reporting and KPI tracking to provide management with greater insight into Contact-Center operations leading to more informed decisions based on business intelligence.Format information and produce associated visuals, charts and graphs.Create and execute MS SQL queries or Power BI dashboards for a variety of performance, statistical and ad hoc business reports.Pull and examine relevant information from different sources including the Customer Service data warehouse, phone and workforce management systems, AS400 and relational databases.Translate data findings into clearly written, actionable recommendations for upper management based on analysis.Minimum RequirementsBachelor's degree.3+ years analyst experience.Strong understanding of Microsoft Office (Excel, Word, Access) and SQL.Experience with Power BI and/or data visual techniques a plus.Detail-oriented with advanced data and statistical analysis skills.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café and outdoor patio.First-class fitness center.Beautifully maintained walking trails.Free chair massages.Numerous employee appreciation events throughout the year.Opportunities for community involvement.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-JF1#CORP"
6,Connors Group,4.2,Senior Consultant - Industrial Engineer - Temporary & FT Positions,"Chicago, IL",$75K - $116K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044077&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_223c6624&cb=1615412577541&jobListingId=4020220432,"Seeking highly motivated, independent INDUSTRIAL ENGINEERING candidates to travel and fill professional consulting roles on client projects.Job DescriptionConnors Group seeks INDUSTRIAL ENGINEERING candidates to fill professional consulting roles on client projects. We have openings for candidates with 4+ years of direct Industrial Engineering experience in the Retail or Supply Chain/Distribution sectors.Qualified candidates will be highly motivated, independent individuals who can work in a wide variety of US locations and sectors (Manufacturing, Supply Chain, Retail). Weekly travel (M-F) is required 80-100% of the time.LocationOur company is based in Pittsburgh, PA, but you can live anywhere in the continental United States, as long as you are within 60 miles of a major airport.Skills - RequiredEngineered Labor StandardsTime StudyPredetermined Motion Time Systems including MOSTWorkplace Organization and Visual ManagementMethod and Process Design and ImprovementStaffing DesignStrong Analytics & ReportingPresentationInterpersonal SavvyMicrosoft Office including Word, Excel and PowerPointSkills – DesiredProject ManagementRetail Labor Management/Labor Scheduling SystemsWarehouse and/or Labor Management SystemsCompany DescriptionConnors Group was formed in 2008 with the mission of helping our clients achieve real, measurable, and sustainable operational improvement. We accomplish this through a proven High Performance Workforce approach which is based on Industrial Engineering and Lean business practices.As a proven management consultancy specializing in Workforce Performance and productivity improvement, we help our clients achieve long-term operational success through proven methodologies and extensive field experience. Our qualifications are established both by our satisfied clients, and by the personal experience of our consultants. We understand Workforce Performance, and we get results for our clients.Job Types: Full-time, TemporaryPay: $300.00 - $450.00 per dayExperience:Industrial Engineering: 4 years (Preferred)"
7,Uline,3.7,Supply Chain Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_83d99105&cb=1615412577541&jobListingId=3769001705,"Supply Chain Data AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesAnalyze company operations, including performance and productivity data, error rates and their root causes.Independently interpret results using a variety of techniques, ranging from simple data analysis to complex data mining.Analyze reports to identify distribution operational issues.Conduct ad hoc analyses on various departments and branches.Design, develop, implement and maintain business solutions to improve performance.Minimum RequirementsBachelor's degree.2 years experience.Working knowledge of SQL, data extraction and analysis a must.Experience in a distribution, supply chain or warehouse environment a strong plus.Excellent proficiency in Microsoft Office, especially Excel.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
8,Parts Town,3.5,Sr. Marketplace Analyst,"Addison, IL",$40K - $74K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&cs=1_5cf7533a&cb=1615412577541&jobListingId=3823210978,"See What We’re All AboutAs the fastest growing distributor of foodservice equipment parts, we like to do things a little differently. We believe our team should be like family. Not like a second cousin, twice removed, but more like the family you choose to be with every day. First, you have to demonstrate our core values and keep safety as your #1 priority, that’s key. But we’re also looking for unique enthusiasm, high integrity, courage to embrace change…and if you know a few jokes, that puts you on the top of our list.Do you have a genius-level knowledge of foodservice equipment parts? If not, no problem! We’re more interested in passionate people with fresh ideas from different backgrounds. That’s what keeps us at the top of our game. We’re proud that our workplace has been recognized for its growth and innovation on the Inc. 5000 list, twelve years in a row and the Crain’s Fast 50 list eight times. Plus, we were voted by our Chicagoland team as a Chicago Tribune Top Workplace in 2020.If you’re ready to roll up your sleeves, go above and beyond and put your ambition to work, all while having some fun, let’s chat – Apply Today!PerksParts Town Pride – check out our virtual tour and culture!Quarterly profit sharing bonusTeam member appreciation events and recognition programsVolunteer opportunitiesCasual dress codeAll the traditional benefits like health insurance, 401k/401k match, employee assistance programs and time away – don’t worry, we’ve got you covered.The Job at a GlanceThe Sr. Marketplace Analyst (internally referred to as a Data Detective) is responsible for managing and analyzing the business performance of e-commerce channels via online marketplaces. This position will be the subject matter expert of business processes, sales and operational data, and key metrics that determine the overall health of the channel. This position supports the product assortment and merchandising strategy, and owns the analysis and optimization to help improve operational efficiencies, define pricing models, and design tests of marketing programs and sales initiatives.A Typical DayFocus on driving Marketplace sales growth through price optimization & strategic SKU additionsCollaborate with Marketplace category managers & internal stakeholders to improve data & processesMonitor a multitude of data for all Marketplace accounts to be more efficient & productiveBuild out quantitative tools to monitor account health, measure progress, and drive growthWorking with leadership to provide timely and accurate insight into the sales channel to maximize growthIdentifying and implementing new business intelligence technologies to improve communication and access to key metricsAnalyzing customer and sales data to make recommendations and implementation to improve efficiency and profitabilityMaximize channel performance by improving listing quality, search optimization, buyer feedback, and seller ratingProduce regular reporting and data analysis on channel specific metricsEngage relevant team members to act upon customer needs in a timely manner and drive resolution from start to finishTo Land This OpportunityYou have 3-5 years of experience in a similar business analyst roleYou are passionate about Analytics!You have solid working knowledge of all third-party MarketplacesYou demonstrate a passion for project management and utilizing new technologiesYou can self-manage changing priorities and tasksYou have knowledge of Access, SQL, + Crystal ReportsYou are proficient in MS Excel and have a basic understanding of relational databasesYou thrive in a fast-paced environment and adapt well to changeYou enjoy using your problem-solving skills as well as written and verbal communication with a can-do attitude!You are a self-starter who proactively digs into data to uncover insightsYou thrive with ambiguity and have an entrepreneurial spiritAbout Your Future TeamAs an important part of our culture, we take pride in having fun while making a big impact. We’re passionate about celebrating birthdays, milestone anniversaries and team wins!Parts Town welcomes diversity and as an equal opportunity employer all qualified applicants will be considered regardless of race, religion, color, national origin, sex, age, sexual orientation, gender identity, disability or protected veteran status."
9,Trexin Consulting,4,Digital Strategy/Marketing Business Analyst,"Chicago, IL",$49K - $96K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044077&s=58&guid=000001781e17c104a9d25ac7764e9379&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_458dc176&cb=1615412577541&jobListingId=4010614823,"Founded on the principles of trust, experience, and innovation, Trexin Consulting specializes in strategy execution – the effective implementation of business strategy to achieve a specific business goal. Also referred to as applied strategy, strategy execution situations that Trexin frequently leads include: scaling capabilities for growth, optimizing operations for cost reduction, driving synergies for M&A, and recovering projects in distress. Trexin’s services are right-sized for our Clients’ needs, ranging from our “Diamond Team” service when our Clients want Trexin to own an outcome and share delivery risk, to Expert/Advisory services for senior-level guidance, to Strategic Staffing services for execution-oriented tasks and roles. Our expertise spans Healthcare, Life Sciences, Financial Services, and Products & Distribution, overlaid by multidisciplinary skills in the five capabilities essential to executing strategy: Aligned Enterprise, Program Execution, Technology, Innovation, and Analytics.Trexin Consulting is currently seeking a Digital Strategy/Marketing Business Analyst to join our team and consult at our healthcare clients.Key Areas of Responsibility: Work with stakeholders to understand their business objectivesLead the requirements gathering for Marketing communications solutions (Campaign management, communication delivery thru all digital channels (email, SMS, etc.))Experience working with Adobe Campaign Classic (preferred), Silverpop, or other marketing platformsWork with a cross-functional team of campaign designers with the following skill sets: UX/UI, SEO, SMO, SEM, SMMWork with key stakeholders to develop digital experiences and ongoing product enhancementsInteract with business, conduct analysis, and document business processes, workflows and requirementsExperience in working in a scrum team, groom the requirements into JIRA stories, EpicsLead requirement gathering sessionsPrepare and deliver client presentationsAttend and lead meetings; provide project status reporting to managementAssist with testing scenarios and validate resultsLiaison between business stakeholders and technology teamsAccountable for feature/story prioritization, change management, business process and op model changes (if any), training, and architecture visionAccountable for requirements traceability matrix to tie requirements to use casesResponsible for release plan development, business case, ideation, business requirements articulation, and acceptanceResponsible for product design alignment with business case to enable full benefit realizationKey Desired Skills, Experience and Knowledge: Healthcare experience required in payer organizationsUnderstanding Medicare/Medicaid terms5 plus years of business analyst experience or in similar roleExperience in business analysis with focus on managing business and technical requirementsExperience with Agile/Lean methodologiesAdvanced skills with Microsoft Office Suite (Word, PowerPoint, and Excel)Ability to analyze complex business processAnalytical problem-solving approachAbility to proactively identify risks, and drive action to mitigate and resolve issuesStrong communication skills, with the ability to work independentlyStrong organizational skills, with the ability to manage a vast array of informationPrevious experience from a management consulting environment desirableTrexin is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind. Trexin is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Trexin are based on business needs, job requirements, and individual qualifications. Trexin strictly prohibits and does not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, religion, creed, national origin or ancestry, ethnicity, sex (including pregnancy, childbirth, or related medical conditions), gender (including gender nonconformity and status as a transgender individual), sexual orientation, age, physical or mental disability, citizenship, past, current, or prospective service in the uniformed services, genetic information, or any other characteristic protected under applicable federal, state, or local law.Trexin complies with the Americans with Disabilities Act (ADA), as amended by the ADA Amendments Act, and all applicable state or local law. Consistent with those requirements, Trexin will reasonably accommodate qualified individuals with a disability if such accommodation would allow the individual to perform the essential functions of the job, unless doing so would create an undue hardship. Trexin will also, where appropriate, provide reasonable accommodations for an employee's religious beliefs or practices. Trexin strictly prohibits discrimination against protected veterans, and Trexin utilizes affirmative action to recruit, hire, promote, and retain veterans.Trexin Consulting does not accept unsolicited resumes from individual recruiters or third-party recruiting agencies in response to job postings. No fee will be paid to third parties who submit unsolicited candidates directly to our hiring managers or Recruiting Team. All candidates must be submitted via our Applicant Tracking System by approved Trexin Consulting vendors who have been expressly requested to make a submission by our Recruiting Team for a specific job opening. No placement fees will be paid to any firm unless such a request has been made by the Trexin Consulting Recruiting Team and such candidate was submitted to the Trexin Consulting Recruiting Team via our Applicant Tracking System.Job Types: Full-time, ContractPay: $0.00 per yearWork Location:One location"
