,company,rank,job_title,location,salary_range,link,description
0,Alliant Credit Union,3.4,Data Scientist,"Rolling Meadows, IL",$88K - $145K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1188405&s=149&guid=000001781e26280c8836ca664147df7b&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_14c32da7&cb=1615413520944&jobListingId=3795209572,"Start a Rewarding Career with AlliantWhat will your day look like?

The Data Scientist is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for decisioning and product management throughout member lifecycle, including segmentation, optimization, and prescriptive analytics; work effectively with internal clients to understand the business needs, propose appropriate quantitative solutions, and develop data-driven recommendations to improve member experience and achieve business objectives; provide statistical and analytical inputs for the development and implementation of policies and business plans related to loan origination, portfolio management, loss forecasting and portfolio monitoring; proactively collaborate with cross-functional partners including Business Intelligence, Model Risk Management, and Information Technology (Database Engineers, Application Development and Information Security); and deliver effective presentations of analysis results and recommendations to multiple levels of leadership and business partners. The incumbent is a key contributor to the success of the Risk Analytics team.ResponsibilitiesDo you see yourself doing this?

Use advanced analytics to solve business problems and support business and risk strategic objectives. Collaborate with various partners to prioritize requests/needs and provide a holistic view of the analysis.
Perform advanced data analytics (e.g. data mining, statistical analysis, predictive analytics), and develop, document, and support the deployment of quantitative models, which are used for decisioning and product management through member lifecycle including acquisition, activation, utilization, relationship deepening and retention.
The risk analytics projects may include but not be limited to: automated credit decisioning, risk rating models, pricing models, loan loss forecasting, as well as CECL models and validation.
Acquire and integrate data from multiple data sources for analysis, perform exploratory to advanced predictive and/or modeling analytics, and identify data relationships such as trends, patterns and correlations in order to solve business questions as well as provide actionable recommendations.
Leverage multiple complex data sources such as credit bureau reports, and customer supplied information at large scale to optimize approve / decline and credit line assignment decisions.
Be able to presents data and analysis in a clear and concise manner allowing the internal clients to quickly understand the results and make data driven decisions.
Work jointly with engineers to deploy models into production environment.
Perform model validation and documentation of newly-developed predictive models to ensure they follow best industry practices and are in compliance with internal and regulatory requirements.
Conducting annual model validations to ensure models are working as intended and proactively seek, build and consolidate new data inputs to improve model performance.
Promote a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes.
Adhere to and ensure compliance of all business transactions with policy and process of the Bank Secrecy Act. Comply with Privacy Act directives and all other applicable state and federal laws, company procedures and policies. Maintain integrity and ethics in all actions and conversations with or regarding credit union members and their accounts.

QualificationsWhat makes you a great fit?

You’ll be a great fit if in addition to an advanced degree (M.S./PhD) in Mathematics, Statistics, Quantitative Finance, Engineering, Computer Science, or other quantitative field required, and you have:


Require 2+ years of data analytics and modeling experience in the financial services industry (consumer lending preferred)
Hands-on work experience on building and deploying decisioning models that are used for one or more of the areas in credit risk, collections, marketing, or fraud
Expert knowledge in one of the statistical programming languages such as Python or R, and database languages such as SQL
Basic knowledge on lending, credit risk measures (PD, LGD and EAD)
Excellent communication skills and ability to present complex analyses and technical subject matter clearly and concisely to internal customers with different technical backgrounds
Strong teamwork and interpersonal skills to collaborate with people across functions
Self-motivated and impact-oriented


When you’re happy, we’re happy!

As a thank you for joining our team, you’ll benefit from:


Competitive medical, dental, and free vision benefits
Competitive compensation plan
Contributions towards gym memberships
Generous PTO and banking holidays off

Still not convinced?

We’re on the list of 100 Best Medium Companies to work for, check it out here. For more details you can also visit our Glassdoor and LinkedIn profiles."
1,Epsilon,3.6,Data Scientist (Decision Science Identity Team),"Chicago, IL",$87K - $144K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=149&guid=000001781e26280c8836ca664147df7b&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_c1e49572&cb=1615413520944&jobListingId=3788656226,"Company DescriptionEpsilon is the leader in outcome-based marketing. We enable marketing that’s built on proof, not promises. Through Epsilon PeopleCloud, the marketing platform for personalizing consumer journeys with performance transparency, Epsilon helps marketers anticipate, activate and prove measurable business outcomes. Powered by CORE ID®, the most accurate and stable identity management platform representing 200+ million people, Epsilon’s award-winning data and technology is rooted in privacy by design and underpinned by powerful AI. With more than 50 years of experience in personalization and performance working with the world’s top brands, agencies and publishers, Epsilon is a trusted partner leading CRM, digital media, loyalty and email programs. Positioned at the core of Publicis Groupe, Epsilon is a global company with over 8,000 employees in over 40 offices around the world. For more information, visit www.epsilon.com. Follow us on Twitter at @EpsilonMktg.Job DescriptionExternal Title: Data ScientistInternal Title: Scientist, Decision SciencesIn this role, you will research and develop enhancements to Epsilon’s CORE Personalization Platform to continually increase the capabilities of Epsilon’s digital marketing businesses.The Decision Sciences group is a collaborative, multi-disciplinary R&D team combining data science, machine learning, AI, computer science, and more. Our colleagues love the fast-paced, dynamic work environment, the speed with which we translate research to business impact, the opportunity to continually learn new knowledge and skills, the internal research seminars, the external training opportunities, and the excellent work-life balance our culture promotes.We prioritize talent and potential over having closely similar prior experience. If using internet scale data to drive business impact excites you, we want to talk to you.ResponsibilitiesConduct projects from early stage research through development, in consultation with stakeholdersUse your expertise in data science, machine learning, and/or computer science to research and recommend solutions to our technology and business problemsProvide technology leadership to yield innovative differentiating solutionsImplement and optimize state of the art algorithms in distributed environmentsParticipate fully in our collaborative approach to research and applications projectsDevelop an understanding of Epsilon PeopleCloud Digital Media Solutions personalization platform and proprietary datasetsQualificationsPh.D in a computational, mathematical, engineering, or scientific fieldResearch experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, or graph algorithmsFluency in programmingAnalytic and modeling skills; proficient at conceptualizing, implementing, and evaluating accurate and scalable solutions to business problemsVerbal and written communication skills, including the ability to summarize technically complex information for a non-technical audienceAdditional, But Not Required SkillsExperience with distributed computingDemonstrated proficiency working with business and technical teams to integrate algorithms into product platforms on large data setsQualificationsAdditional InformationGreat People, Deserve Great BenefitsWe know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.Epsilon is an Equal Opportunity Employer. Epsilon’s policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.Epsilon will provide accommodations to applicants needing accommodations to complete the application process.#LI-AL1REF23529I"
2,"Vizient, Inc.",4.2,Health Care Data Scientist,"Chicago, IL",$94K - $155K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_345008c5&cb=1615413520945&jobListingId=3686028968,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.Summary:In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.Responsibilities:Provide analysis to identify critical issues/questions around member performance.Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.Generate hypotheses and analyze data to test and interpret results.Design and develop data models to predict member outcomes or future impact of key member decisions.Communicate findings from exploratory and predictive data analysis broadly to team and leaders.Identify improvement opportunities in reporting and BI tools and collaborate with Products Technology to implement enhancements.Serve as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced mathematics.Collaborate with key leaders and clinicians to build analytical acumen across all analytic roles in the organization.Qualifications:Relevant degree preferred. Advanced degree a plus.5 or more years of relevant work experience.Proficient programming experience using SAS/Python/R.Demonstrated ability to manage large disparate data sets and using quantitative and qualitative analysis.Experience effectively communicating and presenting data to a variety of audiences required.Experience working with health care administrative claims data (ICD-10, MS-DRG, CPT/HCPCS) or electronic medical record data tools (Epic Clarity/Caboodle, Cerner CCL-Discern/PowerInsight) required.#LI-DM#IDSEqual Opportunity Employer: Females/Minorities/Veterans/Individuals with DisabilitiesThe Company is committed to equal employment opportunity to all employees and applicants without regard to race, religion, color, gender identity, ethnicity, age, national origin, sexual orientation, disability status, veteran status or any other category protected by applicable law."
3,Uline,3.7,Supply Chain Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ed5cf958&cb=1615413520945&jobListingId=3769001705,"Supply Chain Data AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesAnalyze company operations, including performance and productivity data, error rates and their root causes.Independently interpret results using a variety of techniques, ranging from simple data analysis to complex data mining.Analyze reports to identify distribution operational issues.Conduct ad hoc analyses on various departments and branches.Design, develop, implement and maintain business solutions to improve performance.Minimum RequirementsBachelor's degree.2 years experience.Working knowledge of SQL, data extraction and analysis a must.Experience in a distribution, supply chain or warehouse environment a strong plus.Excellent proficiency in Microsoft Office, especially Excel.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
4,PMA Consultants,4.3,Data Scientist/Analytics Specialist,"Chicago, IL",$96K - $157K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044077&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_16706f02&cb=1615413520945&jobListingId=4023338632,"PMA Consultants is a national program management/construction management consulting firm consistently achieving top rankings in Engineering News-Record (ENR). With a portfolio of projects that span the globe, we specialize in project and program management with subspecialties in owner’s representative, project controls, project scheduling, risk management, claims avoidance, and other fields! We are recognized for our leadership and subject matter expertise across a variety of industries and for helping owners deliver successful projects.PMA values professionals who aspire to cultivate successful and enduring careers with us, and we have a great track record of working with our staff to nurture meaningful career arcs across industries and geographies.Position SummaryThe qualified candidate will have a high degree of intellectual curiosity and will be a proactive self-starter who searches for relevant questions while providing an objective and impartial analysis. The successful applicant will have excellent oral and written communication skills, with the ability to discuss financial strategies and translate them into actionable plans; be a team contributor who puts the success of the group ahead of personal ambitions; and a person who values honesty and integrity and can handle confidential information effectively. Other required qualifications include demonstrated interpersonal skills to develop and maintain effective work relationships with all levels of personnel; an ability to leverage multiple data sources and advanced tools to develop directive analytics, including strong visualization of the data; and outstanding oral and written communication skills.Major tasks in this important role include designing, implementing, and supporting business intelligence reporting by using advanced data visualization and analytics tools (e.g., Power BI, Tableau, Oracle Analytics, etc.); designing and building publication-ready data visualizations using diverse sets of structured and unstructured data; and monitoring and resolving performance issues specific to dashboard development and delivery. Other duties involve supporting internal initiatives to develop the organization’s visualization techniques, strategizing in collaboration with functional teams to identify data-driven solutions for ongoing needs across the organization, and moving multiple projects forward by employing project management techniques. The capable candidate will also extract and analyze data from databases to drive optimization and improve product development and business strategies, present information using data visualization techniques, and elicit and validate user requirements to ensure users have opportunity to define their needs and expectations for new or modified tools and applications.The successful candidate will also have the ability to research data from diverse sources and use advanced analytical techniques to support decision making on new and proposed applications; develop recommendations that account for unanticipated changes and unusual factors and develop written reports and oral presentations to recommend changes to proposed new systems and applications; ensure the delivery of robust customer support, including technical assistance, troubleshooting, and training to promote the effective implementation of systems and applications; communicate complex technical requirements to nontechnical personnel; and prepare and present briefings to senior management officials on systems-related matters. Our ideal candidate will maintain professional competence and a specialized knowledge base by keeping in step with emerging themes and best practices.Position QualificationsMA/MS in economics, statistics, mathematics, computer science, or related field required.5+ years of work experience or a BA/BS in economics, statistics, mathematics, computer science, or related field and 8+ years of relevant work experience.Extensive expertise in analyzing large, complex, multi-dimensional datasets with a variety of tools, and accomplished in the use of statistical analysis environments required.Experience with relational databases (e.g., SQL, Oracle and NoSQL) and Hadoop-based data mining frameworks required.Demonstrated ability to independently prepare sophisticated statistical analyses with accuracy and calibration within an established time frame required.Ability to read and understand mathematical formulae with the capability of applying new concepts to existing problem sets required.Understanding of both structured and unstructured data, the benefits of both, and when/how to apply them required.Extensive experience with Power BI, Tableau, and/or other data analytics and visualization/business intelligence software systems tools required.Must possess excellent command of the English language and excellent writing skills.Must be proficient in the use of Microsoft applications (i.e., MS Word, PowerPoint, and Excel).Knowledge and experience with querying databases (SQL, or similar) and with using statistical computer languages required.Knowledge with project management principles, methods, and practices to plan, organize, and manage projects that require efficient and effective use of assigned resources and the timely accomplishment of project objectives required.IT project management experience as well as knowledge of Primavera P6, MS Project, or equivalent project management software preferred.PMA offers competitive wages and comprehensive benefits, including medical, prescription, dental, vision, time off with pay, 401(k) with company match, life, disability, and professional development reimbursement. All qualified applicants will receive consideration for employment without regard to race, color, religion, or sex (i.e., pregnancy, sexual orientation, gender identity, or gender expression); disability; national origin; or any other characteristic protected by applicable laws, regulations, and ordinances. Qualified female and minority applicants are encouraged to apply.EOE, including persons with disabilities and veterans.VEVRAA federal contractor.Job Type: Full-timePay: $65,000.00 - $85,000.00 per yearBenefits:401(k) matchingDental insuranceHealth insurancePaid time offReferral programVision insuranceSchedule:Monday to FridayEducation:Master's (Preferred)Experience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)Work Location:One locationCompany's website:www.pmaconsultants.comWork Remotely:No"
5,TransUnion,3.9,Product Strategy Leader - Data Science Technologies,"Chicago, IL",$98K - $158K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_6a8c4822&cb=1615413520946&jobListingId=3817800267,"What We'll Bring:At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.What You'll Bring:Advanced knowledge of the product management lifecycle management and go to market processes for B2B software in the data science and machine learning platform spaceExperience in managing product portfolio of data science platforms, predictive analytic models, and machine learning commercialization in the financial space will be preferredMinimum of 7 years’ experience from one of the following areas preferred: risk management, B2B data science technology services, financial services, and/or other similar fieldsUnderstanding of how data science and risk analytics teams have implemented data science software and platforms in the risk analytics spaceUndergraduate degree in finance, accounting, mathematics, engineering or one of the hard sciences. MA/MS/MBA or equivalent experience is a plus.Deep knowledge and experience in product strategy and management, preferably in financial services, risk analytics, or data science technologyStrong leadership skills; ability to take initiative and ownership and effectively leverage resources to successful outcomes without constant directionStrong problem solving skills; ability to break down complex problems into critical parts, identify the key causes and effectively prioritize and execute way forwardProven ability to quickly grasp industry and business-wide concepts in order to assess implications to drive actions and to capitalize on opportunitiesStrong critical thinking skills, ability to assimilate and understand new concepts in short time framesExceptional analytical skills; ability to logically and systematically visualize and efficiently tackle tasksSuperior communication skills (verbal and written)Outstanding interpersonal skills and ability to work across functions and levels of seniorityHighly organized, excellent project management abilitiesAdvanced fluency in Excel, PowerPoint and WordComfort operating in and delivering high-profile results in ambiguous environments#LI-JD1Impact You'll Make:The Product Strategy Leader - Data Science Technologies will work closely with the VP of Analytics Enablement Solutions to provide leadership in defining, developing, launching, and managing the global data science and analytics product portfolio. You will leverage your domain expertise in the data science platform and risk analytics space to drive the business forward with responsibility for all analytic enablement products globally with a focus on our Prama suite of solutions.Your role will evolve as we form the group and initially, you will:Work closely with the VP of Analytics Enablement Solutions to develop the vision and roadmap for the analytics suite of solutionsAccountable for the longer-term P&L performance and strategy for your product portfolioDevelop strategic insights based on market assessments grounded in primary and secondary researchCollaborate with Sales, Markets, Regions, Data Science, Global Technology, Marketing, and the broader Global Solutions Team to create and maintain business plans with clear and measurable targets while ensuring cohesive product offeringsPartners with International Product leads to ensure best practice sharing between US and TU International MarketsDevelop and deliver senior level presentations to articulate business plansReview and approve product backlogsAssist in designing and establishing a process for continuous improvement of our analytics suite of solutions, leveraging a data-driven, hypothesis-test-learn approachGather competitive intelligence on an ongoing basis, monitor strategy and competitive response for key competitive solution sets#LI-JD1We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law.TransUnion's Internal Job Title:Sr Advisor, Product Management"
6,Edward-Elmhurst Health,3.8,Clinical Lab Scientist-Generalist SIGN ON BONUS!,"Elmhurst, IL",$20 - $32 Per Hour(Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_525d9dad&cb=1615413520946&jobListingId=4023198846,"$2000.00 SIGN ON BONUS(Bonus program parameters apply)Edward-Elmhurst Health includes three hospitals — Edward Hospital, Elmhurst Hospital, and Linden Oaks Behavioral Health — and an extensive ambulatory care network that provides comprehensive healthcare to residents of the west and southwest suburbs of Chicago. Edward-Elmhurst Health provides comprehensive healthcare at more than 60 locations in the suburbs of Chicago. Our success has always been — and always will be — driven by our most talented, reliable, compassionate and skilled people, who genuinely believe in delivering top quality care to our patients and their families. At Edward-Elmhurst Health, you will also experience a vibrant culture and an atmosphere of nurturing support and leadership.Be DRIVEN to join our over 8,000 employees, 1,700 staff physicians and 1,800 volunteers who want to provide safe, seamless and personalized care every day for our patients, our families and our communities.Job Summary: Performs various clinical laboratory tests in one or more sections of the Laboratory in order to obtain data for use in diagnosis and treatment of disease. Overall, generalist duties including some microbiology and blood bank.Hours: Full-time NIGHTS 10pm-6:30am; Includes weekend/holiday rotationRequired:Bachelors degree in Medical Technology or Clinical Laboratory ScienceAbility to accurately collect and analyze test results, and to perceive similarities and differences in colorRegistration with the American Society of Clinical Pathology (ASCP), National Credentialing Agency (NCA) or equivalentNEW GRADS WELCOME TO APPLY!Benefits offered by Edward-Elmhurst Health include:Medical, dental, and vision401KTuition reimbursementPaid time offFitness center membershipPlus many other Employee PerksLocation: Edward-Elmhurst Health · LAB-AUTOMATEDSchedule: Full time, Nights, 10:00pm-6:30AM"
7,Uline,3.7,Corporate Analytics Manager (North of Chicago),"Chicago, IL",$67K - $119K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_5e64928c&cb=1615413520947&jobListingId=4023052206,"Corporate Analytics ManagerCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Uline's Corporate Operations team analyzes results and seeks opportunities to improve operations and optimize performance - all to ensure we stay true to our company motto of Speed, Passion and Operational Excellence.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesDevelop a skilled corporate analytics team able to consult with and support Uline's departmental analytics teams.Discover process improvement opportunities, promote best practices and provide training.Ensure projects are prioritized and project goals and target dates are met.Provide formal instruction in technical skills to the business, developing other instructors to share in the training.Provide data-driven, actionable solutions and recommendations for insightful decision-making.Build coalitions with key departmental leaders, investing time to understand their processes and opportunities for improvement.Facilitate knowledge sharing and networking among members of the greater analytics community and strengthen their communication links with Uline's IT department.Oversee Data Stewards Steering Team and planning process including quarterly forums and networking luncheons.Minimum RequirementsBachelor's degree in analytics-related field.5+ years’ experience in analytics field.3+ years’ experience in managing analytics groups.Experience with project management and formal training environments strongly preferred.Proficient in database concepts, SQL, VBA and BI Tools.Familiarity with Python and / or R preferred.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-JF1#CORP"
8,Uline,3.7,Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_f753ebf9&cb=1615413520949&jobListingId=3789462051,"Data AnalystCorporate Headquarters12575 Uline Dr. Pleasant Prairie, WI 53158We're passionate about our products because our customers rely on them to run their businesses.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesWrite SQL queries to retrieve sales, customer and product data.Perform ad hoc analysis and create reports to illustrate performance, answer business questions and provide recommendations.Apply basic and intermediate statistical methods (e.g. data aggregation, regression analysis, time series analysis, etc.) to solve business questions.Collaborate with pricing team members to create reports, analyses and presentations.Build relationships with the Merchandising and Logistics teams to develop trust and understand processes.Create what-if scenarios to quantify the impact due to catalog price or vendor cost changes.Minimum RequirementsBachelor’s degree. Business, statistics, mathematics or computer science majors preferred.Proficient in Excel with exposure to SQL, Power BI and statistical methods.Analytical and organized with relentless attention to detail.Strong intellectual curiosity with willingness to learn new concepts and tools.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/DisabledUline is a drug-free workplace.#LI-LP1#CORP"
9,Hopkins Manufacturing Corporation,3.4,eCommerce/Marketing Data Analyst,"Arlington Heights, IL",$44K - $79K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_c271b576&cb=1615413520949&jobListingId=3698722858,"The e-commerce analyst will work with the Director of eCommerce to determine the business KPI’s and create and maintain standardized reporting for the team, as relates to the company's online retail presence. They are responsible for analyzing and reporting trends in customer purchases and changes in the online retail market to the Director, so they are well-informed when making business decisions. The analyst will also track the company's web analytics, search engine ranking, advertising campaign results, and other brand metrics and to propose actions that enhance Hopkins’ progress towards its short and long-term goals.Essential Functions:Gather data that includes sales, rankings, customer reviews, and the standing of a company's online competition.Track, report and analyze online metrics including, but not limited to: homepages, landing pages, on-site demographics, platform performance, customer purchase analysis (retention & increase purchase frequency), and bounce rate by page.Conduct shopping funnel analysis and reporting to inform new technical projects that will result in conversion improvements.Capture daily, weekly, monthly, and yearly eCommerce KPI’s and analyze trends over time.Perform deep-dive analysis into our key KPI’s to understand the “why” of our customer’s behavior.Submit recommendations to improve the revenue opportunities for the business, based upon data collected.Track and analyze targeted competitor products to assess changes in competitive standing. Offer recommendations for appropriate actions/corrective actions that should be taken.Stay current on eCommerce industry trends and how they can apply to our business while providing input on opportunities and risks.Support and implement various development projectsEffectively undertake the requirement elicitation, document and analysis, solution design, testing definition, and execution.Interact with the product teams and work closely with them to understand their business needs and opportunities.Undertake conversion of data to the new system and work with the application support personnel for the implementation of system software.Education & Experience:Bachelor’s degree in business management, systems management, or marketing.Should possess experience using software used to track online sales and create multi-variable graphs to predict changes.Experience analyzing conversion rate optimization activities (such as A/B testing) and reporting on findings.Should have a strong understanding of the rules of web design and branding so as to understand the necessary steps to make a consistent brand image and user-friendly site that maximizes potential sales, improving site conversion.3-5 years of related eCommerce analytical experience."
