,company,job_title,location,salary_range,link,description
0,Codifyd,Business Analyst,"Chicago, IL",$40K - $76K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1168196&s=149&guid=000001781463becf8d1c88ac5f889526&src=GD_JOB_AD&t=SRFJ&vt=w&ea=1&cs=1_a1a01aad&cb=1615249785970&jobListingId=3767888644,"Job Description

As a market leader in providing master data management solutions, our Connect Consulting Practice team members engage with our clients to assess and implement best-of-breed applications to address their product, vendor, and customer data needs. Codifyd partners with leading MDM/PIM software vendors including Stibo Systems, Informatica, EnterWorks, and inRiver in delivering these solutions. We are currently looking for a Business Analyst with hands-on experience to gather detailed business and technical requirements, create business use and test cases, and to act as a liaison by creating direct channels of communication between technical and business teams. If you have at least 4 years of relevant professional work experience and strong business analyst experience, this is the opportunity for you.

Responsibilities

Lead in-person discovery meetings with clients and stakeholders to evaluate current PIM/MDM systems and processes along with adapting unique business needs to create and recommend new PIM/MDM solutions.Document components to integrate PIM/MDM solutions with external applicationsDesign and build workflows and custom portal components to enhance governance and quality of product data solutionsDefine test cases and develop and execute test plansDocument business requirement for business processes and abide by those requirements for future projectsCompile analysis reports that are delivered to developers and follow-up on all resultsImplement a comprehensive management plan for each projectHold regular stakeholder meeting to keep all interested parties updated on project progressBuild and maintain long-term client and business partner relationships70-90% Travel Required

Requirements

4+ years of relevant business analyst work experienceStrong Microsoft Visio skillsExperience with both agile and waterfall project formatsStrong experience in user testing and project managementExcellent interpersonal, communication and team-facilitation skillsStrong analytical and problem-solving skillsBachelors degree in Business, Supply Chain, or related major such as electronic engineering; Computer Sciences degree a plus; Masters degree a plus, PIM/MDM experience with major platforms (Stibo, Enterworks, Informatica, inRiver, Infosphere) a plus

About Codifyd

At Codifyd, we transform the way distributors, manufacturers, and retailers leverage the digital landscape. With a product content-centric approach, we create a failsafe system for organizations to manage complex data and information required in todays digital commerce marketplace. Our digital transformation services and AI technologies enable operational efficiency for organizations and their channel partners, while providing a superior research-to-purchase experience for end users and financial growth for sellers.

The Codifyd team is comprised of bright, talented, and experienced professionals working in a fast-paced culture where every team member has autonomy and responsibility. We value innovative thinking, elegant and pragmatic design, exceptional team chemistry, and innate passion to make an impact.

Powered by JazzHR"
1,Deloitte,Business Analyst or Business Process - Consultant,"Chicago, IL",$56K - $83K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1008783&s=149&guid=000001781463becf8d1c88ac5f889526&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_a864680d&cb=1615249785970&jobListingId=4018977048,"System EngineeringBusiness Analyst or Business Process - ConsultantAre you a talented professional who focuses on the planning, execution, and monitoring of project initiatives? Are you a resourceful problem solver that thrives in the identification and definition of creative, effective technology solutions? As a Business Analyst or Business Process Consultant, you help clients set-up, manage, and operate their most complex projects, define functional requirements for technology solutions, and design and derive transformative approaches for technology systems.Deloittes Systems Engineering Practice comprises passionate, like-minded technology enthusiasts who strive to fundamentally transform how our clients deliver value.We focus on key client issues that impacts the core business by driving down the cost of quality and enhancing technology innovation. Each member of our professional team is a strategic thinker, with a passion for helping organizations innovate the way they work.Success is defined in our ability to ask our clients the tough questions, challenge them towards making real, sustainable change and helping them achieve the change, by working with them, side by side. If this sounds like you, keep reading!We are looking for frontrunners in the field Business Analysis or Business Process.Work youll doAs a core member of our Business Analysis or Business Process team, you work within an engagement team to create software solutions that help our clients solve problems, expand market share, improve operations, and grow their business. You wont work alone. Youll work alongside smart, dynamic colleagues. Youll engage in:Project and Program ManagementRequirements Elicitation and ManagementJoint Application Design SessionsCreating Robust, Effective, Scalable SolutionsThe teamSystems EngineeringAt Deloitte Consulting LLP, our Systems Engineering specialists help clients manage the complexity inherent with technology change, from requirements planning to architecture, testing to deployment, and beyond, helping to link their IT programs to organizational goals. And we offer a complete range of industry-leading services, including systems development, solution and platform integration. Learn more about our Systems Engineering practice.Business Analyst/Business Process Consultants are required to have:3+ years of relevant consulting or industry experience3+ years supporting the planning and management of project initiatives in a Project Management Office or similar team environment3+ years of experience with Project Management Tools such as Microsoft Project and Microsoft SharePoint2+ years of experience with Requirements Management and Traceability tools such as the IBM Rational suite and HP Quality Center2+ years of experience translating requirements into optimized designs and identifying alternativesExperience working on projects related to custom software development which should include a solid working knowledge of SDLCBusiness Process candidates should have a background in functional design with specific experience creating process mapsTravel up to 50% (While 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)Experience working in an Agile environmentMust be legally authorized to work in the United States without the need for employer sponsorship, now, or at any time in the futureIn addition, successful Consultants will have the following preferred background:Experience involving solution development based on cloud (SaaS, PaaS and IaaS), web or mobile application architectureFamiliar with testing challenges associated with applications developed for cloud platforms such as Amazon Web Services (AWS), Microsoft Azure, Google Cloud or Force.comExposure to DevOps and CI projectsExperience working in a collaborative environmentExperience with work planning, monitoring, and reportingExperience conducting interviews and documenting requirementsExperience facilitating design sessions and defining future state processesStrong oral and written communication skillsA Bachelors Degree in a relevant field, technology, engineering is strongly preferred.How youll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe theres always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.Deloittes cultureOur positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.Corporate citizenshipDeloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloittes impact on the world.Recruiter tipsWe want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area youre applying to. Check out recruiting tips from Deloitte professionals.CBOSESDOLP2021"
2,TTX,Business Analyst,"Chicago, IL",$55K - $106K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_f36a85de&cb=1615249785971&jobListingId=4001462684,"Analyze and manage business requirements throughout the System Development Life Cycle (SDLC), including support of requirements workshops, business process modeling, writing detailed functional specifications for new and changed complex information systems, preparing test cases and testing strategies, conducting peer reviews to ensure 'as-built' information systems conform to specifications, and ensuring that processes are followed. Additionally, participate with analysis of business requirements and recommend effective, efficient, flexible technical solutions to meet business needs. Perform work within the full range of project development methodologies, including: waterfall and Agile methods. Assist with leading and facilitating groups across all levels of the organization to deliver valued outcomes, including improved analytics, adoption of improved methodologies, and using analytics to drive business decisionsRESPONSIBILITIESRelease Planning and daily operations - 50% oElicit, analyze, and document requirements by communicating directly with customers to resolve complex issues oGroom and maintain backlog with prioritized user stories oPlan and monitor the progress of release items oUnderstand issues and help resolve them through data analysis, technical research, and team collaboration on complex issues oAssist with connecting processes and overcoming internal silos oEnhance the end user experience by providing actionable information oFacilitate user acceptance testing and perform integration testing, as required oOther activities within area of responsibility, as neededProjects - 40% oCommunicate effectively with all team members, stakeholders and project sponsors on technical and non-technical topics oDevelop elements of systems design, including user stories, business process documentation, workflow charts, diagrams, data migration rules, business rules, wireframes, or other detailed deliverables oStrive toward continual optimization across processes using technology to solve issues, increase efficiency, and add to the bottom line oUse new technologies to leverage possibilities and opportunities to innovate the future through the interconnectivity of devices and processes oAchieve core business competencies in rapidly changing environments by using innovative technology oIdentify controls necessary to ensure long-term system stability oCreate test plans and strategy oCollaborate with end users and developers on developing comprehensive test cases oAssists in the development of training material. Conducts training as appropriateStrategy and R&D - 10% oInvestigate and make recommendations on emerging technologies oUnderstand enterprise strategy and direction oKeep the end user/customer at the forefront of thought; support, guide, influence users to see opportunities and value with new approaches using technology oAssist users with realizing their strategy and goals through the use of new technologyQUALIFICATIONSInnate curiosity about technology and how technology can solve problemsStrong business acumen; ability to understand business models quicklyAct as a liaison with the Digital Governance, Risk and Security team to comply with digital governance and security policies and standards during design and implementationBe a champion of digital security at TTXDemonstrated self-starter; strong initiativeAbility to manage and focus on multiple tasks and changing prioritiesBachelor's degree in technology, programming, or businessMinimum 3 years of experience as a BAMinimum 5 years professional experience with demonstrated progressive responsibilityExperience using agile methodologies such as Scrum or KanbanExcellent communication and interpersonal skillsAbility to create wire frames; leveraging intuitive designStrong MS Office skillsIntermediate experience using SQL or other programming languagesKnowledge of all phases of the Software Development Life CyclePHYSICAL JOB REQUIREMENTS(The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.)Performs work in general office environment with a moderate noise level. While performing the duties of this job, the employee is regularly required to talk, hear, or sit (remain stationary within work area). The employee is frequently required to use hands to finger, handle, or feel. The employee is occasionally required to move about (stand, walk) and reach with hands and arms. The employee must occasionally lift and/or transport up to 10 pounds. Correctable vision required for close and color vision and the ability to adjust focus (ability to adjust eye to bring an object into sharp focus).The above job description is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or requirements."
3,Uline,Customer Service Analyst (North of Chicago),"Chicago, IL",$39K - $86K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_738a846c&cb=1615249785973&jobListingId=4023052492,"Customer Service AnalystMilwaukee Branch12355 Uline Way, Kenosha, WI 53144Customer Service is the heartbeat of our company. We depend on our Call Center employees to serve our customers and fulfill our promise of reliability.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesProduce reporting and KPI tracking to provide management with greater insight into Contact-Center operations leading to more informed decisions based on business intelligence.Format information and produce associated visuals, charts and graphs.Create and execute MS SQL queries or Power BI dashboards for a variety of performance, statistical and ad hoc business reports.Pull and examine relevant information from different sources including the Customer Service data warehouse, phone and workforce management systems, AS400 and relational databases.Translate data findings into clearly written, actionable recommendations for upper management based on analysis.Minimum RequirementsBachelor's degree.3+ years analyst experience.Strong understanding of Microsoft Office (Excel, Word, Access) and SQL.Experience with Power BI and/or data visual techniques a plus.Detail-oriented with advanced data and statistical analysis skills.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café and outdoor patio.First-class fitness center.Beautifully maintained walking trails.Free chair massages.Numerous employee appreciation events throughout the year.Opportunities for community involvement.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-JF1#CORP"
4,Uline,Business Analyst (North of Chicago),"Chicago, IL",$70K - $85K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_8136b8fe&cb=1615249785974&jobListingId=3798237670,"Business AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With Uline’s continued growth, we need a team that ensures we stay true to our company motto of Speed, Passion and Operational Excellence. Our Executive Operations team keeps us on track by conducting internal operational audits, analyzing company performance and reporting findings and recommendations to Uline’s President.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesReview and summarize financial and operational data and provide executive summaries with recommendations to senior management.Investigate root causes and provide analyses and recommendations for improvement in business operations.Recommend growth and cost-saving opportunities and participate with business leaders on implementation.Review, comment and follow-up on customer comment reports.Analyze weekly and monthly reports and develop solutions to improve performance.Assist in audits and provide suggestions and feedback.Minimum RequirementsBachelor’s degree.3+ years’ experience in a business operations / financial analysis role.Working knowledge of analytical and planning techniques to evaluate current business performance and modeling to assess future capital investments and acquisitions.Strong quantitative skills with proficiency in Excel, Word, PowerPoint and Access or SQL.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
5,Tampico Beverages,BUSINESS ANALYST,"Chicago, IL",$58K - $108K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1183596&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f99310b&cb=1615249785974&jobListingId=3818441886,"Tampico Beverages, a growing multi-national company with corporate offices in Chicago, has an immediate opportunity for Business Analyst

ABOUT US:Bottling Irresistible– Discover Flavors of Fun!

Here at Tampico, we are constantly striving to create moments of joy for our consumers through our products and an awesome culture to our employees! Besides being one of the top selling brands of Refrigerated Juice Drinks available in groceries across America and around the world, we are a team of dedicated people focused on bringing our consumers the best tasting, highest quality products at the best value. Please visit our website at www.tampico.com for more information.

Our dedicated and inquisitive team is behind everything we do, we are always improving. We offer a competitive salary and comprehensive benefits such as vacation, health, dental, vision, life insurance, short/long-term disability, employee assistance program, tuition reimbursement, wellness program, ESOP, and the option to participate in the company’s 401K plan. We can only imagine what the future holds, but we know it will be irresistible.

POSITION SUMMARY:

The Business Analyst provides support and administration for all business applications included but not limited to: Dynamics GP environment, EDI, SharePoint, Helpdesk, PowerBI, and Salesforce. They are responsible to analyze user requests and issues for business applications and determine if requests or issues can be done internally or by applicable vendor. The Business Analyst works with Senior Business Process Manager& Vice President of Technology on outside vendor requests to ensure the requests are reviewed and approved to meet budget requirements.

RESPONSIBILITIES:

Support and administer the following software: Dynamics GP, Salesforce, SharePoint, POS Site, Spiceworks and PowerBISupport& grow with EDI Prioritize and ensure Helpdesk tickets are addressed in a timely mannerDevelop and report timelines and project statuesManage projects and request costs against budget expenditures


QUALIFICATIONS:

7 years of experience working with in Dynamics GP; 5 years of experience with MS SQL; EDI, PowerBI and Salesforce experience a plusBachelor’s Degree in Computer Science or Business - requiredProficient in Microsoft Office Excellent communication, interpersonal and organizational skillsAbility to organize and manage multiple projectsIdeal place of residence: Chicago, IL or surrounding suburbs

NOTE: Relocation is not provided for this position. No phone calls please"
6,Uline,Financial Analyst (North of Chicago),"Chicago, IL",$63K - $74K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b8fe4e2&cb=1615249785975&jobListingId=3677159017,"Financial AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With a long history as a stable employer, we continue to look for passionate college graduates to join our team.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesReview financial statements for assigned business units and identify key trends, variances and opportunities for performance improvements.Assist with monthly and ad hoc analysis throughout all of Uline's departments and branches.Present performance improvement recommendations to Uline's senior leadership, including the CFO and Corporate and Branch Management.Work independently to develop and review Uline's annual budget and forecast.Minimum RequirementsBachelor's degree in finance or accounting.Highly adept in Microsoft Excel, Access and Word. SQL experience a plus.Strong team player with a desire to advance within the Finance department.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/DisabledNOCBPOST"
7,Fresenius Kabi,SR FINANCIAL ANALYST,"Melrose Park, IL",$53K - $79K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_54b3aa17&cb=1615249785976&jobListingId=3809765464,"Job SummaryConduct detail and summary analysis to identify, communicate and explain operational variances to senior management at departmental and reporting unit levels. Assist in leading annual budget, strategic planning and quarterly forecasts for applicable reporting unit. Prepare various ad hoc financial analysis to support management decision making. Support in the development of process improvements within financial planning. Use SAP to obtain, prepare and compile information on behalf of the business/division unit and production units. Prepare journal entries and perform analysis of data utilizing SAP and other related systems. Under general supervision, in charge of accounting activities and the corresponding managerial and financial reports.ResponsibilitiesCollect, prepare and analyze financial actuals, budget/forecasts and variance reports on a monthly, quarterly and annual basis for the multiple divisions and production units including Contract Manufacturing & OH.Prepare and execute monthly actual, forecast and budget projection uploads into FK Systems related to Sales and full P&L.Prepare, analyze monthly results and reports for BU NAM.Responsible for ensuring the accuracy of the Fresenius Kabi Legal and Management financial systems in BU NAM.Responsible for Standard cost calculation support and corresponding system improvements and projectsResponsible for ensuring the accuracy of the Fresenius Kabi SAP system requirements to include phased forecast and budgeted projections for BU NAM.Participate in the development and implementation of the strategic planning process for BU NAM.Assist in financial studies regarding projected changes in revenues and expenditures for BU NAMConduct analysis to improve the operational and financial effectiveness and process improvement of the applicable reporting units.Develop internal financial reports for forecasting/trending/and results analysis.Assist in the development, programming and process improvement within financial systems.Prepare journal entries, account reconciliations, accounting estimates and analysisCoordinate and prepare monthly actual spend data reports for meeting with cost center ownersPrepare, analyze and report monthly, quarterly and annual A/R results and projections for applicable units.Ad-Hoc Financial analysis ranging from Sales & Distribution to Operations.Job RequirementsBachelor’s degree in Accounting/Finance required, MBA, CMA or CPA preferred5+ Years of related work experienceProficiency in MS office and other technical programsFinancial and operational modeling skillsSAP experienceStrong written and verbal communication skills.A high degree of accuracy and attention to detail is requiredThis position will interact with all levels of employees throughout company.Thorough understanding and working knowledge of accounting principlesTime flexible during peak periods of the year and holidaysAdditional InformationWe offer an excellent salary and benefits package including medical, dental and vision coverage, as well as life insurance, disability, 401K with company match, and wellness program.Fresenius Kabi is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disabilities, or protected veteran status."
8,Uline,IT Business Analyst (North of Chicago),"Chicago, IL",$70K - $85K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_80a831a3&cb=1615249785976&jobListingId=3818294484,"IT Business AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesWork closely with the business to understand problems and identify the work needed to implement future state solutions.Document and analyze current state business processes and the underlying systems and applications.Conduct meetings with stakeholders to gather user requirements.Write user stories and lead backlog grooming/refinement sessions.Analyze existing and new software solutions to find the most effective way to meet business needs.Validate business, functional and technical requirements.Create product/project backlogs consisting of Epics, Features, User Stories and Tasks.Produce timely and high-quality work products, including specifications, process flows, mock-ups and wireframes.Plan and execute System/Functional Testing and User Acceptance Testing.Minimum RequirementsBachelor's degree.4+ years of experience in a Business Analyst or related role.6+ years of overall IT experience with significant involvement in software development.Significant experience with both traditional Waterfall SDLC and Agile/Lean methodologies.Experience with Atlassian/Jira/Confluence and Microsoft TFS a plus.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SR1#CORP"
9,Reyes Holdings,Trans & Ops Systems Analyst,"Rosemont, IL",$40K - $75K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=000001781463becfb58bf8bdd08afdd3&src=GD_JOB_AD&t=SR&vt=w&cs=1_53bae388&cb=1615249785977&jobListingId=3777923706,"We are Driven by Excellence, Dedicated to People in everything we do…no matter the job. A unique and fulfilling work experience comes with every position within the Reyes Family of Businesses - where there’s always an opportunity to grow and develop in a family-owned environment grounded in values and ethics.Position Summary:The Transportation and Operations Systems analyst will be responsible for development, maintenance and oversight of relevant transportation and operation solutions.Position Responsibilities may include, but not limited to:Establish an advanced level of knowledge for Infor EAM, fleet telematics and other transportation system and the Reyes Holdings businesses that use it.Manage Infor EAM system administration and configuration modules; workflow development and administration.Provide technical expertise with security setup, maintenance, and troubleshooting for Infor EAM, fleet telematics and other transportation systems.Oversee and maintain Infor EAM, Xatanet and other transportation systems reports; run queries against a SQL database and create ad hoc reports.Analyze complex problems and perform application configuration changes for enhancements and change requests.Assist with data migration, upgrades and enhancements on Infor EAM, Xatanet and other transportation system.Perform quality assurance processes: perform test runs, coordinate testing, and resolve test deficiencies prior to deployment of system enhancements developed with .Assist with end user training and consultation for Infor EAM.Serve as primary contact for Infor EAM users and ITSC (IT Service Center).Plan and execute system fixes/patches fixes/patches to Infor EAM or other transportation systems.Identify and communicate Infor EAM, Xatanet or other transportation systems defects to vendor.Monitor Infor EAM system performance; troubleshoot and resolve technical problems.Serve as liaison between vendor and Infor EAM system, Xatanet and other transportation system users to resolve issues.Provide assistance for supported platform environments, including development, testing, training and production.Other projects or duties as assigned.Required Skills and Experience:Bachelor degree in related field or equivalent work experience3-5 years of computer software experience in computer systems development and analysis, applications programming or configuration, database administration, and data communicationExperience in identifying client business requirements and translating them into functional specificationsIntermediate knowledge of Microsoft SQL Server database structureIntermediate knowledge of and ability to use SQL programming languageIntermediate knowledge of report writing tools (e.g. Cognos, Crystal Reports)Excellent customer service skills and strong interpersonal skillsStrong organizational skills with great attention to detail, with strong analytical and problem-solving skillsProfessional written and verbal communication skills, with good ability to communicate with different levels within an organizationExcellent verbal and written communication skills.Proficient in Microsoft Office.This position must pass a post-offer background and drug test.Preferred Skills and Experience:Understanding of asset management systemsUnderstanding of fleet maintenance or any maintenance type systemUnderstanding of electronic logging systems for tracking federal hours of service regulationsKnowledge of programming languagesPhysical Demands and Work Environment:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Due to the nature of our business in regard to such things as delivery schedules, order inputs, selection, and Department of Transportation Hours of Service, overtime, attendance and punctuality are essential job functions. Should an individual in this classification not be able to adhere to this requirement due to a disability, they should contact their Human Resources department to see what, if any, reasonable accommodation may be made.As an Equal Opportunity Employer, Reyes Holdings companies will recruit and select applicants for employment solely on the basis of their qualifications. Our Practices and Procedures, including those relating to wages, benefits, transfers, promotions, terminations and self-development opportunities, will be administered without regard to race, color, religion, sex, sexual orientation and gender identity, age, national origin, disability, or protected veteran status and all other classes protected by the Federal and State Government. Drug Free Employer."
